Medal,Name,Event,Games
Gold,Tan Joe Hok,Men 's Singles,1962 Asian Games
Gold,Minarni,Women 's Singles,1962 Asian Games
Gold,Retno Kustijah Minarni,Women 's Doubles,1962 Asian Games
Gold,Men 's Team Tutang Djamaluddin Liem Tjeng Kiang Ferry Sonneville Tan Joe Hok Abdul Patah Unang,Men 's Team,1962 Asian Games
Gold,Women 's Team Goei Kiok Nio Happy Herowati Corry Kawilarang Retno Kustijah Minarni,Women 's Team,1962 Asian Games
Gold,Muljadi,Men 's Singles,1966 Asian Games
Gold,Retno Kustijah Minarni,Women 's Doubles,1966 Asian Games
Gold,Men 's Team Indra Gunawan Rudy Hartono Indratno Mintarja Muljadi,Men 's Team,1970 Asian Games
Gold,Tjun Tjun Johan Wahjudi,Men 's Doubles,1974 Asian Games
Gold,Christian Hadinata Regina Masli,Mixed Doubles,1974 Asian Games
Gold,Liem Swie King,Men 's Singles,1978 Asian Games
Gold,Christian Hadinata Ade Chandra,Men 's Doubles,1978 Asian Games
Gold,Imelda Wiguna Verawaty Fajrin,Women 's Doubles,1978 Asian Games
Gold,Men 's Team Ade Chandra Christian Hadinata Rudy Heryanto Hariamanto Kartono Liem Swie King Iie Sumirat,Men 's Team,1978 Asian Games
Gold,Christian Hadinata Icuk Sugiarto,Men 's Doubles,1982 Asian Games
Gold,Christian Hadinata Ivana Lie,Mixed Doubles,1982 Asian Games
Gold,Hariyanto Arbi,Men 's Singles,1994 Asian Games
Gold,Rexy Mainaky Ricky Subagja,Men 's Doubles,1994 Asian Games
Gold,Men 's Team Hariyanto Arbi Rudy Gunawan Rexy Mainaky Ricky Subagja Bambang Suprianto Joko Suprianto Hermawan Susanto Ardy Wiranata,Men 's Team,1994 Asian Games
Gold,Rexy Mainaky Ricky Subagja,Men 's Doubles,1998 Asian Games
