Rank,Country,Team,Time
1,Kenya,Shem Kororia Moses Tanui Kenneth Cheruiyot,2:59:54
2,South Africa,Hendrick Ramaala Gert Thys Makhosonke Fika,3:03:34
3,Ethiopia,Abraham Assefa Lemma Alemayehu Tesfaye Tola,3:03:46
4,Spain,Alejandro Gómez Bartolomé Serrano Antonio Peña,3:05:35
5,Italy,Stefano Baldini Michele Gamba Antonio Armuzzi,3:06:00
6,Japan,Osamu Nara Noriaki Igarashi Yoshifumi Miyamoto,3:06:37
7,Zimbabwe,Tendai Chimusasa Abel Chimukoko Fungai Kapanyota,3:07:01
8,Portugal,Luís Jesús Alcidio Costa Joaquim Pinheiro,3:07:22
9,Colombia,Herder Vázquez Carlos Grisales José Orlando Sánchez Guerrero,3:07:41
10,Hungary,Imre Berkovics Tamás Kliszek Zoltán Holba,3:08:55
11,Germany,Michael Fietz Rainer Huth Jens Karrass,3:09:31
12,France,Jean-Pierre Lautredoux Hakim Bagy Jean-Pierre Monciaux,3:09:33
13,Switzerland,Stéphane Schweickhardt Viktor Röthlin Hansjörg Brücker,3:09:54
14,Brazil,Eduardo do Nascimento Elisvaldo de Carvalho Daniel Ferreira,3:10:24
15,Belgium,Mohammed Mourhit Ronny Ligneel Jos Maes,3:11:12
16,Russia,Valeriy Kuzman Pavel Kokin Anton Nikolesko,3:12:19
17,Slovakia,Róbert Štefko Petr Pipa Miroslav Vanko,3:12:21
18,Great Britain,David Taylor Alan Chilton Glynn Tromans,3:12:23
19,Czech Republic,Jan Pešava Vladimír Vašek Jan Bláha,3:12:29
20,Tanzania,Wilbroad Axweso Faustin Saktay Neema Tuluway,3:13:10
