Year,Title,Role,Notes
1989,Live-In,Girl,Episode : Mommy and Me and Au Pair Make Three
1989-93,Saved by the Bell,Kelly Kapowski,Main role ( 75 episodes )
1990,Charles in Charge,Jennifer,Episode : There 's a Girl in My Ficus
1990,Married ... with Children,Heather McCoy,Episode : What Goes Around Came Around
1990,The Hogan Family,Brooke,Episode : California Dreamin ' : Parts 1 & 2
1992,Step by Step,Tina Gordon,Episode : Daddy 's Girl
1992,Blossom,Ricki,Episode : Driver 's Education
1992,Saved by the Bell : Hawaiian Style,Kelly Kapowski,Movie
1992,The Powers That Be,Barbara,Episode : The Intern
1992,A Killer Among Friends,Jenny Monroe,Movie
1993-94,Saved by the Bell : The College Years,Kelly Kapowski,Series
1994,Saved by the Bell : Wedding in Las Vegas,Kelly Kapowski,Movie
"1994-98 , 2000","Beverly Hills , 90210",Valerie Malone,Main role ( 136 episodes )
1995,The Stranger Beside Me,Jennifer Gallagher,Movie
1995,She Fought Alone,Caitlin Rose,Movie
1996,Sweet Dreams,Alison Sullivan,Movie
1996,Buried Secrets,Annalisse Vellum,Movie ; also co-producer
1999,Cupid,Stephanie MacGregor,Episode : Children 's Hour
1999,NewsRadio,Foxy Jackson,Episode : Assistant
2000,Two Guys and a Girl,Marti,8 episodes
