Year,Title,Role
2006,Kingdom Hearts II,Roxas
2007,Kingdom Hearts II Final Mix,Roxas
2008,The Hardy Boys : The Hidden Theft,Frank Hardy
2009,Kingdom Hearts 358/2 Days,Roxas
2010,Kingdom Hearts Birth by Sleep,Ventus
2011,Kingdom Hearts Re : coded,Data-Roxas
2012,Kingdom Hearts 3D : Dream Drop Distance,"Roxas , Ventus"
2013,Young Justice : Legacy,Nightwing
2013,Kingdom Hearts HD 1.5 Remix,Roxas ( Archive and new footage )
2014,Kingdom Hearts HD 2.5 Remix,"Roxas , Ventus , Data-Roxas ( Archive and new footage )"
2017,Kingdom Hearts HD 2.8 Final Chapter Prologue,"Roxas , Ventus"
2019,Kingdom Hearts III,"Roxas , Ventus"
