Município,Capital,Area ( km2 ),Pop . ( 2006 est )
Ambaca,Camabatela,"3,080","123,244"
Banga,Banga,"1,260","23,284"
Bolongongo,Bolongongo,"1,061","31,288"
Bula-Atumba,Bula,"3,604","56,718"
Cambambe,Dondo,"5,212","91,984"
Cazengo,N'Dalatando,"1,793","109,256"
Dembos,Quibaxe,"2,444","58,941"
Golungo Alto,Golungo Alto,"1,989","69,918"
Gonguembo,Gonguembo,"1,400","37,405"
Lucala,Lucala,"1,718","41,792"
Pango-Aluquém,Pango,"2,754","45,680"
Quiculungo,Quiculungo,475,"30,152"
Samba Cajú,Samba Cajú,"2,012","95,638"
