Pick,Player,Pos,Nationality,Team,College
1,Keith Clark,F,United States,Texas Legends,Oklahoma
2,Joe Crawford *,G,United States,Texas Legends,Kentucky
3,Michael Fey,C,United States,Texas Legends,UCLA
4,Ryan Forehan-Kelly,G/F,United States,Texas Legends,California
5,Gabriel Hughes,C,United States,Texas Legends,California
6,James Peters,F,United States,Texas Legends,UNLV
7,Frank Robinson,G,United States,Texas Legends,Cal State Fullerton
8,Diamon Simpson,F,United States,Texas Legends,Saint Mary 's ( CA )
9,Dar Tucker,G,United States,Texas Legends,DePaul
10,James Mookie Wright,G,United States,Texas Legends,Colorado
