Year,Player,High School,Hometown,State,College choice
1987,Lynne Lorenzen,Ventura High School,Ventura,Iowa,Iowa State
1988,Vicki Hall,Brebeuf Jesuit Preparatory School,Indianapolis,Indiana,Texas
1989,Lisa Harrison,Southern High School,Louisville,Kentucky,Tennessee
1990,Lisa Leslie,Morningside High School,Inglewood,California,Southern Cal
1991,Michelle Marciniak,Central Catholic High School,Allentown,Pennsylvania,Notre Dame / Tennessee
1992,Yolanda Watkins,Decatur High School,Decatur,Alabama,Alabama
1993,La'Keshia Frett,Phoebus High School,Hampton,Virginia,Georgia
1994,Tiffany Gooden,Snider High School,Fort Wayne,Indiana,Iowa
1995,Chamique Holdsclaw,Christ the King High School,Queens,New York,Tennessee
1996,Kiesha Brown,Woodward Academy,Atlanta,Georgia,Georgia
1997,Tamika Catchings,Duncanville High School,Duncanville,Texas,Tennessee
1998,Tamika Williams,Chaminade-Julienne High School,Dayton,Ohio,Connecticut
1999,Kara Lawson,West Springfield High School,Springfield,Virginia,Tennessee
2000,Diana Taurasi,Don Lugo High School,Chino,California,Connecticut
2001,Shyra Ely,Ben Davis High School,Indianapolis,Indiana,Tennessee
2002,Ann Strother,Highlands Ranch High School,Highlands Ranch,Colorado,Connecticut
2003,Candace Parker,Naperville Central High School,Naperville,Illinois,Tennessee
2004,Candace Parker ( 2 ),Naperville Central High School,Naperville,Illinois,Tennessee
2005,Courtney Paris,Millennium High School,Piedmont,California,Oklahoma
2006,Maya Moore,Collins Hill High School,Suwanee,Georgia,Connecticut
