Season,Champion ( s ),Conf . record,Overall record,Bowl result
1996,Houston,4-1,7-5,lost Liberty Bowl
1996,Southern Miss,4-1,8-3,
1997,# 19 Southern Miss,6-0,9-3,won Liberty Bowl
1998,# 7 Tulane,6-0,12-0,won Liberty Bowl
1999,# 14 Southern Miss,6-0,9-3,won Liberty Bowl
2000,Louisville,6-1,9-3,lost Liberty Bowl
2001,# 17 Louisville,6-1,11-2,won Liberty Bowl
2002,# 23 TCU,6-2,11-2,won Liberty Bowl
2002,Cincinnati,6-2,7-7,lost New Orleans Bowl
2003,Southern Miss,8-0,9-4,lost Liberty Bowl
2004,# 6 Louisville,8-0,11-1,won Liberty Bowl
