Team,Location,Stadium,Capacity,Manager,Kit manufacturer,Shirt sponsor
AB,Argir,Blue Water Arena,"2,000",Oddbjørn Joensen,Adidas,Install
B36,Tórshavn,Gundadalur,"5,000",Sámal Erik Hentze,Adidas,P/F Wenzel
B68,Toftir,Svangaskarð,"6,000",Øssur Hansen,Nike,None
EB/Streymur,Streymnes,Við Margáir,"1,000",Rúni Nolsøe,Nike,
HB,Tórshavn,Gundadalur,"5,000",Heðin Askham,Nike,Auto Service
ÍF,Fuglafjørður,Í Fløtugerði,"3,000",Albert Ellefsen,Puma,Bank Nordik
KÍ,Klaksvík,Við Djúpumýrar,"3,000",Eyðun Klakstein,Adidas,JFK
NSÍ,Runavík,Við Løkin,"2,000",Trygvi Mortensen,Nike,Bakkafrost
Skála,Skála,Undir Mýruhjalla,"2,000",Pauli Poulsen,Stanno,R Transport
Víkingur,Norðragøta,Sarpugerði,"3,000",Sigfríður Clementsen,Adidas,Vodafone
