Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Peter Dajia,Canada,Shot put,1983- 1986,"Self admittance in 1989 : Steroids Positive test : Steroids , Testosterone",18 months
Martina Danišová-Hrasnová,Slovakia,Hammer throw,2003,Nandrolone,2 years
Bonnie Dasse,United States,Shot put,1992,Clenbuterol,4 years
Marie Davenport ( Marie McMahon ),Ireland,Long distance,1996,Phenylpropanolamine,Reprimand
Walter Davis,United States,Triple jump,2013,3 whereabouts failures,1 year
Alice Decaux,France,Hurdling,2013,β-Methylphenethylamine,6 months
Mary Decker ( Mary Slaney ),United States,Middle distance,1996,Testosterone,
Tony Dees,United States,Hurdling,2001,"Norandrosterone , Noretiochdandone",Life ban
Hind Dehiba,France,Middle distance,2007,EPO,2 years
Tatyana Dektyareva,Russia,Hurdling,2014,Ostarine,2 years
Dimitrios Delifotis,Greece,Long jump,1984,,
Luis Delís,Cuba,Discus throw/shot put,1990,,
Tezeta Dengersa,Turkey,Middle/Long distance,2005,Metenolone,2 years
Frédéric Denis,France,Steeplechase,2007,EPO,2 years
Sébastien Denis,France,Hurdling,2005,Ephedrine,Public warning
Lyubov Denisova,Russia,Marathon,2007,"Prostanozol , testosterone",2 years
Manuela Derr,Germany,Sprinting,1992,Clenbuterol,3 years
Ronald Desruelles,Belgium,Long jump,1980,,
Hrysopiyi Devetzi,Greece,Triple/Long jump,2009 2007 ( Retest 2015 ),Failure to submit to doping control Stanozolol,2 years 4 years
Vadim Devyatovskiy,Belarus,Hammer throw,2000,Nandrolone,2 years
