Rank,Athlete,Nationality,Time
1,Tegla Loroupe,Kenya,1:08:14
2,Cristina Pomacu,Romania,1:08:43
3,Lidia Simon,Romania,1:09:05
4,Joyce Chepchumba,Kenya,1:09:07
5,Nuta Olaru,Romania,1:09:52
6,Katrin Heinig,Germany,1:09:56
7,Lyudmila Petrova,Russia,1:10:02
8,Rocío Ríos,Spain,1:10:06
9,Mari Sotani,Japan,1:10:13
10,Svetlana Zakharova,Russia,1:10:29
11,Delilah Asiago,Kenya,1:10:36
12,Noriko Geji,Japan,1:10:37
13,Hiromi Katayama,Japan,1:10:48
14,Aurica Buia,Romania,1:11:01
15,Alina Tecuţă/Gherasim,Romania,1:11:02
16,Petra Wassiluk,Germany,1:11:03
17,Viktoria Nenasheva,Russia,1:11:14
18,Iris Biba,Germany,1:11:17
19,Lucia Subano,Kenya,1:11:39
20,Hellen Kimaiyo,Kenya,1:11:42
