Year,Awards,Category,Character,For The Show,Result
2003,Indian Telly Awards,Best Actress in Lead Role,Parvati Aggarwal,Kahaani Ghar Ghar Kii,Won
2004,Kalakar Awards,Best Actress,Parvati Aggarwal,Kahaani Ghar Ghar Kii,Won
2010,Indian Television Academy Awards,ITA Milestone Award,Parvati Aggarwal,Kahaani Ghar Ghar Kii,Won
2011,Indian Television Academy Awards,Best Actress - Drama ( Jury ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2011,Big Star Entertainment Awards,Best Actress in a Lead Role ( Television ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2012,18th Lions Gold Awards,Best Actress in a Lead Role ( Television ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2012,11th Indian Telly Awards,Best Actress in a Lead Role ( Jury ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2012,Apsara Film & Television Producers Guild Awards,Best Actress in Drama Series,Priya Kapoor,Bade Achhe Lagte Hain,Won
2012,5th Boroplus Gold Awards,Best Actress ( Critics ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2012,People 's Choice Awards India,Best Drama Actress,Priya Kapoor,Bade Achhe Lagte Hain,Won
2013,19th Lions Gold Awards,Best Actress in a Lead Role ( Television ),Priya Kapoor,Bade Achhe Lagte Hain,Won
2013,Star Guild Awards,Best Actress in Drama Series,Priya Kapoor,Bade Achhe Lagte Hain,Won
2013,6th Boroplus Gold Awards,Best Actress ( Critics ),Priya Kapoor,Bade Achhe Lagte Hain,Won
