Opponent,S,Occurrences,GP,Rec,%
New York Rangers,11,"1974 , 1979 , 1980 , 1982 , 1983 , 1985 , 1986 , 1987 , 1995 , 1997 , 2014",54,6-5,.545
Buffalo Sabres,9,"1975 , 1978 , 1995 , 1997 , 1998 , 2000 , 2001 , 2006 , 2011",50,6-3,.667
Pittsburgh Penguins,7,"1989 , 1997 , 2000 , 2008 , 2009 , 2012 , 2018",41,4-3,.571
Toronto Maple Leafs,6,"1975 , 1976 , 1977 , 1999 , 2003 , 2004",36,5-1,.833
Boston Bruins,6,"1974 , 1976 , 1977 , 1978 , 2010 , 2011",31,3-3,.500
Montreal Canadiens,6,"1973 , 1976 , 1987 , 1989 , 2008 , 2010",31,3-3,.500
New Jersey Devils,6,"1978 , 1995 , 2000 , 2004 , 2010 , 2012",30,3-3,.500
Washington Capitals,5,"1984 , 1988 , 1989 , 2008 , 2016",29,2-3,.400
New York Islanders,4,"1975 , 1980 , 1985 , 1987",25,3-1,.750
Edmonton Oilers,3,"1980 , 1985 , 1987",15,1-2,.333
Colorado Avalanche,2,"1981 , 1985",11,2-0,1.000
Dallas Stars,2,"1973 , 1980",11,2-0,1.000
Calgary Flames,2,"1974 , 1981",11,1-1,.500
Tampa Bay Lightning,2,"1996 , 2004",13,1-1,.500
Chicago Blackhawks,2,"1971 , 2010",10,0-2,.000
Ottawa Senators,2,"2002 , 2003",11,0-2,.000
St. Louis Blues,2,"1968 , 1969",11,0-2,.000
Vancouver Canucks,1,1979,3,1-0,1.000
Detroit Red Wings,1,1997,4,0-1,.000
Florida Panthers,1,1996,6,0-1,.000
