Name,Regiment/Corps,Date,Conflict,Location
Harold Ackroyd,Royal Berkshire Regiment,31 July-1 August 1917,First World War,Passchendaele
William Allen,Royal Artillery,3 September 1916,First World War,Near Mesnil
Henry Andrews,Indian Medical Services,22 October 1919,Waziristan campaign,Khajuri Post
William Babtie,Royal Army Medical Corps,10 December 1899,Second Boer War,Colenso
William Bradshaw,90th Foot,26 September 1857,Indian Mutiny,Lucknow
Noel Chavasse,King 's Regiment ( Liverpool ),9 August 1916 31 July-2 August 1917,First World War First World War,Guillemont Wieltje
Thomas Crean,1st Imperial Light Horse,18 December 1901,Second Boer War,Tygerkloof
John Crimmin,Bombay Medical Services,1 January 1889,Karen-Ni Expedition,Near Lwekaw
Campbell Douglas,24th Foot,7 May 1867,Andaman Expedition,Little Andaman
Henry Douglas,Royal Army Medical Corps,11 December 1899,Second Boer War,Magersfontein
Joseph Farmer,Army Hospital Corps,4 July 1879,Zulu War,Ulundi
John Fox-Russell,Royal Welch Fusiliers,6 November 1917,First World War,Khuweilfe
Andrew Fitzgibbon,Indian Medical Establishment,21 August 1860,Third China War,Taku Forts
John Green,Sherwood Foresters,1 July 1916,First World War,Loos
Thomas Hale,7th Foot,7-8 September 1855,Crimean War,Sevastopol
Henry Harden,No . 45 ( Royal Marine ) Commando,23 January 1945,Second World War,Brachterbeek
Anthony Home,90th Foot,26 September 1857,Indian Mutiny,Lucknow
Neville Howse,New South Wales Army Medical Corps,24 July 1900,Second Boer War,Vredefort
Bellenden Hutcheson,"75th ( Mississauga ) Battalion , CEF",2 September 1918,First World War,Drocourt-Quéant
Edgar Inkson,Royal Inniskilling Fusiliers,24 February 1900,Second Boer War,Hart 's Hill
