Celebrity,Occupation,Professional partner,Status
Niki Xanthou,Athlete long jumper,Dimitris Kranias,Eliminated 1st on 27 March 2011
Giorgos Chraniotis,Actor,Tzeni Nikolentzou,Eliminated 2nd on 3 April 2011
Nasos Galakteros,Former Basketball Player,Anna Polyzou,Eliminated 3rd on 17 April 2011
Marietta Chrousala,"Fashion model , TV presenter",Thodoris Panagakos,Eliminated 4th on 24 April 2011
Maria Tsouri,Water polo player,Panos Xylas,Eliminated 5th on 1 May 2011
Natassa Kalogridi,Actress,Vaggelis Holevas,Eliminated 6th on 8 May 2011
Giorgos Gerolimatos,Singer,Fotini Papastavrou,Eliminated 7th on 15 May 2011
Natalia Dragoumi,Actress,Yuri Dimitrov,Eliminated 8th on 22 May 2011
Eleonora Meleti,"TV presenter , journalist",Elias Ladas,Eliminated 9th on 29 May 2011
Nadia Boule,TV presenter,Thanos Pisanidis,Eliminated 10th on 2 June 2011
Tryfonas Samaras,Hairstylist,Claudia-Anna Stoyia,Eliminated 11th on 2 June 2011
Aggeliki Iliadi,Singer,Elias Boutsis,Third Place on 5 June 2011
Kostas Martakis,Singer,Maria Antimisari,Runner-up on 12 June 2011
Argiris Aggelou,Actor,Emily Matthaiakaki,Winner on 12 June 2011
