Year,Event name,Location,Host City,Theme,Attendance
1931,Camp of Slavic Scouts,Prague,Czechoslovakia,,
1935,Jubilee Jamboree of Polish Scouting and Guiding Association,Spała,Poland,,
1997,Fénix,Prague,Czech Republic,,
1998,Eurocor,Žarnovica,Slovakia,,
1999,San '99,Sanok,Poland,,
2001,Carpathia 2001,Csobánka,Hungary,Closer to each other,1000
2004,Tatracor,Tatranská Lomnica,Slovakia,Reach the Top,2000
2006,Orbis 2006,Brno,Czech Republic,Many cultures - one world,3000
2008,Silesia 2008,Chorzów,Poland,Discover new world,1400
2010,ConCordia 2010,Budapest,Hungary,"Many Hearts , One Beat",
2012,11th Central European Jamboree,Liptovský Mikuláš,Slovakia,Experience Elements,1000
2014,12th Central European Jamboree,Doksy,Czech Republic,Prepared for the future,1012
2016,13th Central European Jamboree,Wrocław,Poland,Art of Scouting,1800
2018,14th Central European Jamboree,Szalki Island ( Dunaújváros ),Hungary,Scouting on new waves,700
2022,15th Central European Jamboree,TBA,Czech Republic,,
2024,16th Central European Jamboree,TBA,Slovakia,,
