Medal,Name,Sport,Event
Gold,Denis Pirogov Maksim Vlasov Aleksandr Maikrov Oleg Ivanov,Acrobatic gymnastics,Men 's groups
Gold,Anna Mokhova Yulia Lopatkina,Acrobatic gymnastics,Women 's pairs
Gold,Elvira Zaliayeva Svetlana Kushu Yelena Avakeliyan,Acrobatic gymnastics,Women 's groups
Gold,Sofiya Galiyulina Dmitriy Kukva,Acrobatic gymnastics,Mixed pairs
Gold,Tatiana Solovyova Vladislav Oksnar,Aerobic gymnastics,Mixed pairs
Gold,Aleksandr Nechitaylo,Fin swimming,Men 's 100 m
Gold,Aleksandr Nechitaylo,Fin swimming,Men 's 200 m
Gold,Aleksandr Nechitaylo,Fin swimming,Men 's 50 m
Gold,Sergei Achapov Sergei Dokuchayev Maksim Maksimov Aleksandr Nechitaylo,Fin swimming,Men 's 4 × 100 m relay
Gold,Sergei Achapov Sergei Dokuchayev Maksim Maksimov Aleksandr Nechitaylo,Fin swimming,Men 's 4 × 200 m relay
Gold,Vladimir Ignatenkov,Trampoline,Men 's tumbling individual
Silver,Denis Belikov Stanislav Marchenkov Vadim Michaylov,Aerobic gymnastics,Mixed trios
Silver,Stanislav Marchenkov,Aerobic gymnastics,Men 's individual
Silver,Olga Rumyantseva,Aerobic gymnastics,Women 's individual
Silver,Sergei Achapov,Fin swimming,Men 's 100 m
Silver,Sergei Achapov,Fin swimming,Men 's 200 m
Silver,Svetlana Gancha Oxana Koroleva Natalya Musychenko Yuliya Chirikova,Fin swimming,Women 's 4 × 100 m relay
Silver,Svetlana Gancha,Fin swimming,Women 's 50 m
Silver,Svetlana Gancha Oxana Koroleva Natalya Musychenko Yuliya Chirikova,Fin swimming,Women 's 4 × 200 m relay
Silver,Svetlana Gancha,Fin swimming,Women 's 100 m immersion
