Frequency,Call sign,Branding,Format,Owner
FM 88.1,CBAF-FM-15,Ici Radio-Canada Première,news / talk,Canadian Broadcasting Corporation
FM 88.9,CBAX-FM-1,Ici Musique,public music,Canadian Broadcasting Corporation
FM 90.3,CIMN-FM,,campus radio,University of Prince Edward Island
FM 91.3,CIOG-FM,,Christian radio,International Harvesters for Christ Evangelistic Association
FM 93.1,CHLQ-FM,Q93,classic rock,Maritime Broadcasting System
FM 95.1,CFCY-FM,95.1 CFCY,country music,Maritime Broadcasting System
FM 96.1,CBCT-FM,CBC Radio One,news / talk,Canadian Broadcasting Corporation
FM 100.3,CHTN-FM,Ocean 100,classic hits,Newcap Broadcasting
FM 104.7,CBCH-FM,CBC Music,public music,Canadian Broadcasting Corporation
FM 105.5,CKQK-FM,HOT 105.5,contemporary hit radio,Newcap Broadcasting
