Date,Name,Nat,Moving from,Moving to,Fee
2008-08-01,Renato Ricci,Italy,Internazionale ( youth ),Vicenza ( youth ),Loan
2008-08-01,José Mamede,Portugal,Genoa,Potenza,Loan
2008-08-01,Tiago Pires,Portugal,Genoa,Potenza,Loan
2008-08-01,Jean Mbida,Italy,Vicenza,Internazionale,"Co-ownership , €60,000"
2008-08-01,Nicola Silvestri,Italy,Genoa,Piacenza,Free
2008-08-01,Nicola Silvestri,Italy,Piacenza,Lumezzane,Loan
2008-08-01,Matteo Mandorlini,Italy,Parma,Foligno,"Co-ownership , Undisclosed"
2008-08-01,Andrea Alberti,Italy,Brescia,Monza,"Co-ownership , Undisclosed"
2008-08-04,Matías Miramontes,Argentina,Gimnasia de Jujuy,Ancona,Undisclosed
2008-08-04,Silvano Raggio Garibaldi,Italy,Genoa,Pisa,Loan
2008-08-04,Giuseppe Greco,Italy,Genoa,Pisa,Loan
2008-08-05,Felice Natalino,Italy,Genoa ( youth ),Internazionale ( youth ),Loan
,Mario Titone,Italy,Pisa,Sassuolo,Free
2008-08-05,Mario Titone,Italy,Sassuolo,Sambenedettese,"Co-ownership , Undisclosed"
2008-08-06,Ivan Reali,Italy,Internazionale ( youth ),Vicenza ( youth ),Loan
7 August 2008,Stefano Lorenzi,Italy,Treviso,SPAL,", Free"
2008-08-07,Giovanni Marchese,Italy,Chievo,Salernitana,Loan
2008-08-07,Andrea Mengoni,Italy,Chievo,Piacenza,Loan
2008-08-08,Gianluca Pegolo,Italy,Genoa,Parma,Loan
2008-08-08,Eugenio Lamanna,Italy,Como,Genoa,Undisclosed
