Season,Player,School,Position,Class
1997,Joe Dillon,Texas Tech,1B,Senior
1998,Jason Jennings,Baylor,P,Sophomore
1998,Jason Tyner,Texas A & M,OF,Junior
1999,Jason Jennings * ( 2 ),Baylor,P / DH,Junior
2000,Shane Komine,Nebraska,P,Sophomore
2001,Kelly Shoppach,Baylor,C,Sophomore
2002,Jed Morris,Nebraska,C,Junior
2003,Matt Hopper,Nebraska,IF,Senior
2004,Alex Gordon,Nebraska,3B,Sophomore
2005,Alex Gordon * ( 2 ),Nebraska,3B,Junior
2006,Tyler Mach,Oklahoma State,3B,Junior
2006,Drew Stubbs,Texas,OF,Junior
2007,Kyle Russell,Texas,OF,Sophomore
2008,Jose Duran,Texas A & M,SS,Junior
2009,J. T. Wise,Oklahoma,C,Senior
2010,Nick Martini,Kansas State,OF,Sophomore
2010,Aaron Senne,Missouri,IF,Senior
2011,Tyler Naquin,Texas A & M,OF,Sophomore
2012,Josh Ludy,Baylor,C,Senior
2013,Ross Kivett,Kansas State,IF,Junior
