Name,Residence,Party,Years in Assembly,Years in Senate
Sheila Kuehl,Santa Monica,Democratic,1994-2000,2000-2008
Carole Migden,San Francisco,Democratic,1996-2002,2004-2008
Christine Kehoe,San Diego,Democratic,2000-2004,2004-2012
Jackie Goldberg,Los Angeles,Democratic,2000-2006,-
John Laird,Santa Cruz,Democratic,2002-2008,-
Tom Ammiano,San Francisco,Democratic,2008-2014,-
John Pérez,Los Angeles,Democratic,2008-2014,-
Mark Leno,San Francisco,Democratic,2002-2008,2008-2016
Rich Gordon,Menlo Park,Democratic,2010-2016,-
Ricardo Lara,Bell Gardens,Democratic,2010-2012,2012-2019
