Title,Author,Type of literature
The Satanic Verses,Salman Rushdie,novel
The God Delusion,Richard Dawkins,non-fiction
The Gods Laugh on Mondays,Reza Khoshnazar,novel
The Monkey Whose Owner Had Died,Sadeq Chubak,short stories
The Patient Stone,Sadeq Chubak,short stories
The Mourners of Bayal,Gholam-Hossein Saedi,short stories
Dandyl,Gholam-Hossein Saedi,short stories
Fear and Chills,Gholam-Hossein Saedi,short stories
The Ball,Gholam-Hossein Saedi,short stories
Censoring an Iranian Love Story,Shahriar Mandanipour,novel
Her Eyes,Bozorg Alavi,novel
A Tombstone on a Grave,Jalal Al-e-Ahmad,novel
Mourning for Qasem,Amir Hossein Cheheltan,novel
The Man Lost in Dust,Nosrat Rahmani,poetry
Complete Poems of Ahmad Shamlu,Ahmad Shamlu,poetry
A Girl with a Silver String,Jamal Mirsadeqi,novel
Memories of My Melancholy Whores,Gabriel García Márquez,
"Scorpion on the Railroad Stairways of Andimeshk , or This Train is Bleeding Sir !",Hossein Mortezaeian Abkenar,novel
The Ceremonies of Impatience,Yaghub Yadali,short stories
Social History of Iran,Morteza Ravandi,
