Electoral district,Member,Party
Arm River,George Adam Scott,Liberal
Athabasca,Joseph Octave Nolin,Liberal
Battleford,Sydney Seymour Simpson,Liberal
Biggar,Charles Henry Cawthorpe,Liberal
Cannington,John Duncan Stewart,Liberal
Canora,John Duff Robertson,Liberal
Cumberland,"( Election declared void ; see by-election Sept. 8 , 1913 )",n/a
Eagle Creek,George Hamilton Harris,Liberal
Estevan,George Alexander Bell,Liberal
Francis,Walter George Robinson,Liberal
Gull Lake,Daniel Cameron Lochead,Liberal
Hanley,James Walter MacNeill,Liberal
Humboldt,William Ferdinand Alphonse Turgeon,Liberal
Kerrobert,George Harvey Watson,Liberal
Kindersley,William Richard Motherwell,Liberal
Kinistino,Edward Haywood Devline,Liberal
Last Mountain,Samuel John Latta,Liberal
Lloydminster,John Percival Lyle,Liberal
Lumsden,Frederick Clarke Tate,Conservative
Maple Creek,David James Wylie,Conservative
