School,Municipality/town/city,Province,Grades
Adventist Academy - Cebu ( formerly known as East Visayan Academy ),Talisay,Cebu,7-10
Adventist International Institute of Advanced Studies ( AIIAS ) Junior Academy,Silang,Cavite,7-10
Adventist Medical Center College-Iligan,Iligan,Lanao del Norte,7 - College
Adventist Mission Academy of Romblon ( AMAR ),Odiongan,Romblon,7-10
Adventist University of the Philippines Academy,Silang,Cavite,7-10
Baesa Adventist Academy,Caloocan,,7-10
Baguio Adventist Academy,Baguio,Benguet,7-10
Baguio Seventh-day Adventist School,Baguio,Benguet,7-10
Banahaw View Academy,Lucban,Quezon,7-10
Central Bukidnon Institute,Valencia,Bukidnon,7-10
Central Luzon Adventist Academy,Floridablanca,Pampanga,7-10
Central Philippine Adventist College,Murcia,Negros Occidental,7 - College
Concepcion Adventist Academy,Concepcion,Ilocos Sur,7-10
D-SHEP Foundation Academy,Sablayan,Occidental Mindoro,7-10
East Visayan Adventist Academy,Javier,Leyte,7-10
Lake View Academy,Don Carlos,Bukidnon,7-10
Lipa Adventist Academy,Lipa,Batangas,7-10
Matutum View Academy,Tupi,South Cotabato,7-10
Mindanao Mission Academy,Manticao,Misamis Oriental,7-10
Mountain View College Academy,Valencia,Bukidnon,7-12
