#,Artist,Artist 's nationality,Title
1,Dynoro and Gigi D'Agostino,Lithuania Italy,In My Mind
2,Ed Sheeran,United Kingdom,Perfect
3,Bausa,Germany,Was du Liebe nennst
4,Calvin Harris and Dua Lipa,United Kingdom,One Kiss
5,Dennis Lloyd,Israel,Nevermind
6,El Profesor,Germany,Bella ciao ( Hugel Remix )
7,Namika featuring Black M,Germany France,Je ne parle pas français ( Beatgees Remix )
8,Clean Bandit featuring Demi Lovato,United Kingdom United States,Solo
9,Marshmello featuring Anne-Marie,United States United Kingdom,Friends
10,Luis Fonsi and Demi Lovato,Puerto Rico United States,Échame la Culpa
11,Olexesh featuring Edin,Germany,Magisch
12,Drake,Canada,God 's Plan
13,"Rudimental featuring Jess Glynne , Macklemore and Dan Caplen",United Kingdom United States,These Days
14,Camila Cabello featuring Young Thug,Cuba United States,Havana
15,Capital Bra featuring Ufo361,Germany,Neymar
16,Bonez MC & RAF Camora,Germany,500 PS
17,Eminem featuring Ed Sheeran,United States United Kingdom,River
18,Summer Cem & Bausa,Germany,Casanova
19,Nico Santos,Germany,Rooftop
20,Loud Luxury featuring Brando,Canada United States,Body
