Game,Publisher,Release Date,Platform ( s ),MC score,GR score
Halo : Combat Evolved,Microsoft Game Studios,"November 15 , 2001",Xbox,97/100,95.54%
Grand Theft Auto III,Rockstar Games,"October 22 , 2001",PlayStation 2,97/100,95.19%
Tony Hawk 's Pro Skater 3,Activision,"October 30 , 2001",PlayStation 2,97/100,93.43%
Metal Gear Solid 2 : Sons of Liberty,Konami,"November 13 , 2001",PlayStation 2,96/100,95.09%
Gran Turismo 3 : A-Spec,Sony Computer Entertainment,"April 28 , 2001",PlayStation 2,95/100,94.54%
Tony Hawk 's Pro Skater 2,Activision,"June 11 , 2001",Game Boy Advance,95/100,89.88%
Devil May Cry,Capcom,"August 23 , 2001",PlayStation 2,94/100,92.6%
Madden NFL 2002,EA Sports,"August 19 , 2001",PlayStation 2,94/100,92.32%
NBA 2K2,Sega,"October 24 , 2001",Dreamcast,93/100,92.82%
Mario Kart : Super Circuit,Nintendo,"July 21 , 2001",Game Boy Advance,93/100,91.54%
SSX Tricky,EA Sports,"November 5 , 2001",PlayStation 2,92/100,92.49%
Advance Wars,Nintendo,"September 10 , 2001",Game Boy Advance,92/100,92.38%
Super Mario World : Super Mario Advance 2,Nintendo,"December 14 , 2001",Game Boy Advance,92/100,92.36%
The Legend of Zelda : Oracle of Ages,Nintendo,"February 27 , 2001",Game Boy Color,N/A,92.2%
Final Fantasy X,Square,"July 19 , 2001",PlayStation 2,92/100,91.73%
Super Smash Bros. Melee,Nintendo,"November 21 , 2001",GameCube,92/100,90.52%
Conker 's Bad Fur Day,Rare,"March 5 , 2001",Nintendo 64,92/100,89.28%
NHL 2002,EA Sports,"September 24 , 2001",PlayStation 2,92/100,88.84%
Pro Evolution Soccer,Konami,"March 15 , 2001",PlayStation 2,N/A,91.69%
The Legend of Zelda : Oracle of Seasons,Nintendo,"February 27 , 2001",Game Boy Color,N/A,91.37%
