Rank,Release Date,Film Title,Studio,Gross ( RM )
1,30 Jun,Transformers : Dark of the Moon,United International Pictures,"34,661,020*"
2,26 May,Kung Fu Panda 2,United International Pictures,"18,048,666"
3,15 Dec,Mission : Impossible - Ghost Protocol,United International Pictures,"17,297,093"
4,19 May,Pirates of the Caribbean : On Stranger Tides,Walt Disney Pictures,"16,566,061"
5,5 May,Fast Five,United International Pictures,"16,535,815"
6,15 Sep,Johnny English Reborn,United International Pictures,"16,430,754"
7,13 Oct,Real Steel,Walt Disney Pictures,"15,112,861"
8,14 Jul,Harry Potter and the Deathly Hallows - Part 2,Warner Brothers,"13,681,954"
9,18 Apr,Thor,United International Pictures,"11,198,842"
10,2 Jun,X-Men : First Class,20th Century Fox,"10,628,635"
