Institution,Nickname,Status,Founded,Color,Location
Batangas State University,BatStateU Red Spartans,State,1903,Red and White,"Batangas City , Batangas"
Cavite State University,CvSU Hornets,State,1906,Green and Gold,"Indang , Cavite"
Laguna State Polytechnic University,LSPU Lakers,State,1952,Light Blue,"Santa Cruz , Laguna"
Mindoro State College of Agriculture and Technology,MinSCAT Carabaos,State,1952,Green and Yellow,"Calapan , Oriental Mindoro"
Palawan State University,PSU Bearcats,State,1903,Orange,"Puerto Princesa , Palawan"
Southern Luzon State University,SLSU Phoenix,State,1964,Green,"Lucban , Quezon Province"
Romblon State University,RSU Big Red,State,1914,Green,"Odiongan , Romblon"
University of Rizal System,URS Giants,State,1956 ( 2001 ),Light Blue and Gold,"Morong , Rizal"
Occidental Mindoro State College,OMNC Fighting Rays,State,1966,Blue Yellow and White,"San Jose , Occidental Mindoro"
Western Philippines University,WPU SHARKS,State,1910,Light Blue,"Aborlan , Palawan"
Marinduque State College,MSC,State,1952,Maroon,"Boac , Marinduque"
University of the Philippines Los Baños,UPLB Fighting Maroons,National,1909,UP Maroon and UP Forest Green,"Los Baños , Laguna"
