Name,Event,Country,Record,Type
Shingo Suetsugu,200 metres,Japan,20.34,GR
Liu Xiaomei,200 metres,China,22.87,GR
Xu Zizhou,400 metres,China,45.25,GR
Mihail Kolganov,800 metres,Kazakhstan,1:49.00,GR
Katsuhiko Hanada,"10,000 metres",Japan,28:42.19,GR
Liu Xiang,110 metres hurdles,China,13.42,GR
Chen Tien-Wen,400 metres hurdles,Chinese Taipei,49.18,GR
Yasunori Uchitomi,3000 m steeplechase,Japan,8:33.98,GR
Shingo Kawabata Akihiro Yasui Shingo Suetsugu Hideki Ishizuka,4×100 metres relay,Japan,38.93,GR
Mitsuhiro Sato Jun Osakada Dai Tamesue Ryuji Muraki,4×400 metres relay,Japan,3:03.74,GR
Kazuo Ietani,Half marathon,Japan,1:04:49,GR
Koji Murofushi,Hammer throw,Japan,79.68,GR
Guan Yingnan,Long jump,China,6.61,GR
Liu Hongyu,20 km walk,China,1:32:06,GR
Li Rongxiang,Javelin throw,China,81.55,GR
Bu Fanfang,400 metres,China,52.31,GR
Dong Yanmei,5000 metres,China,15:32.71,GR
Feng Yun,100 metres hurdles,China,13.12,GR
Zeng Xiujun Liu Xiaomei Qin Wangping Li Xuemei,4×100 metres relay,China,44.08,GR
Yan Jiankui Li Yulian Chen Yixiang Bu Fanfang,4×400 metres relay,China,3:30.51,GR
