Event,Gold,Silver,Bronze
48 kg,Vladimir Zubkov Soviet Union,Constantin Alexandru Romania,Georgi Georgiev Bulgaria
52 kg,Petar Kirov Bulgaria,Valery Arutyunov Soviet Union,Nicu Gingă Romania
57 kg,Farhat Mustafin Soviet Union,Józef Lipień Poland,Ivan Frgić Yugoslavia
62 kg,Kazimierz Lipień Poland,Anatoly Kavkayev Soviet Union,László Réczi Hungary
68 kg,Nelson Davidyan Soviet Union,Heinz-Helmut Wehling East Germany,Andrzej Supron Poland
74 kg,Vítězslav Mácha Czechoslovakia,Klaus-Peter Göpfert East Germany,Iosif Berishvili Soviet Union
82 kg,Anatoly Nazarenko Soviet Union,Dimitar Ivanov Bulgaria,Ion Enache Romania
90 kg,Valery Rezantsev Soviet Union,Stoyan Nikolov Bulgaria,Dumitru Manea Romania
100 kg,Nikolay Balboshin Soviet Union,Kamen Goranov Bulgaria,Nicolae Martinescu Romania
+100 kg,Aleksandar Tomov Bulgaria,Shota Morchiladze Soviet Union,János Rovnyai Hungary
