Spoofed Title,Actual Title,Writer,Artist,Issue,Date
Buried with Children,Married ... with Children ( April 1987-June 1997 ) ( Genre : Sitcom ) ( Broadcaster : FOX ),Dennis Snee,Sam Viviano,292,January 1990
"Dorky Housecall , M.D","Doogie Howser , M.D . ( September 1989-July 1993 ) ( Genre : Medical comedy-drama ) ( Broadcaster : ABC )",Dick DeBartolo,Angelo Torres,294,April 1990
Empty Mess,Empty Nest ( October 1988-April 1995 ) ( Genre : Sitcom ) ( Broadcaster : NBC ),Josh Gordon,Mort Drucker,294,April 1990
Roach !,Coach ( February 1989-May 1997 ) ( Genre : Sports sitcom ) ( Broadcaster : ABC ),Stan Hart,Angelo Torres,296,July 1990
America 's Phoniest Home Videos Visits Fool House,America 's Funniest Home Videos ( Since November 1989 ) ( Genre : Reality ) ( Broadcaster : ABC ) and Full House ( September 1987-May 1995 ) ( Genre : Sitcom ) ( Broadcaster : ABC ),Dick DeBartolo,Mort Drucker,297,September 1990
MacGimmick,MacGyver ( September 1985-May 1992 ) ( Genre : Action ) ( Broadcaster : ABC ),Dick DeBartolo,Angelo Torres,302,April 1991
Stale Prince of Belch Air,The Fresh Prince of Bel-Air ( September 1990-May 1996 ) ( Genre : Sitcom ) ( Broadcaster : NBC ),Stan Hart,Mort Drucker,303,June 1991
Major Dud,Major Dad ( September 1989-April 1993 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Dick DeBartolo,Angelo Torres,303,June 1991
Unsolved Miseries,Unsolved Mysteries ( January 1987-April 2010 ) ( Genre : Documentary ) ( Broadcaster : NBC & CBS ),Andrew J. Schwartzberg,Jack Davis,304,July 1991
Father Jowly Miseries,Father Dowling Mysteries ( November 1987-May 1991 ) ( Genre : Crime drama ) ( Broadcaster : NBC & ABC ),Dick DeBartolo,Angelo Torres,305,September 1991
Familiar Matters,Family Matters ( September 1989-July 1998 ) ( Genre : Sitcom ) ( Broadcaster : ABC & CBS ),Dick DeBartolo,Mort Drucker,307,December 1991
Snorin ' Exposure,Northern Exposure ( July 1990-July 1995 ) ( Genre : Comedy-drama ) ( Broadcaster : CBS ),Stan Hart,Angelo Torres,308,January 1992
Beverly Hills 911,"Beverly Hills , 90210 ( October 1990-May 2000 ) ( Genre : Teen drama ) ( Broadcaster : FOX )",Dennis Snee,Mort Drucker,309,March 1992
Quandary Heap,Quantum Leap ( March 1989-May 1993 ) ( Genre : Science fiction ) ( Broadcaster : NBC ),Dick DeBartolo,Angelo Torres,309,March 1992
Love Corruption,Love Connection ( September 1983-July 1994 ) ( Genre : Game show ) ( Broadcaster : Broadcast syndication ),Dick DeBartolo,Angelo Torres,310,April 1992
50/50,20/20 ( Since June 1978 ) ( Genre : Newsmagazine ) ( Broadcaster : ABC ),Charlie Kadau Joe Raiola,Mort Drucker,310,April 1992
Gnome Improvement,Home Improvement ( September 1991-May 1999 ) ( Genre : Sitcom ) ( Broadcaster : ABC ),A.J . Marley,Angelo Torres,311,June 1992
Evening Shame,Evening Shade ( September 1990-May 1994 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Dennis Snee,Angelo Torres,313,July 1992
American Radiators,American Gladiators ( September 1989-May 1996 ) ( Genre : Game show ) ( Broadcaster : Broadcast syndication ),Dick DeBartolo Andrew J. Schwartzberg,Al Jaffee,315,December 1992
Entertainment Too Light Visits In Livid Color,Entertainment Tonight ( Since September 1981 ) ( Genre : Entertainment news ) ( Broadcaster : Broadcast syndication ) and In Living Color ( April 1990-May 1994 ) ( Genre : Sketch comedy ) ( Broadcaster : FOX ),A. J. Marley,Sam Viviano,317,March 1993
