Year,Inductee,Country
1978,Ken Watson,Canada
1979,Chuck Hay,Scotland
1980,Bob Grierson,Scotland
1981,Doug Maxwell,Canada
1982,Sven Eklund,Sweden
1983,Mabel DeWare,Canada
1984,Robin Welsh,Scotland
1985,Don McLeod,Canada
1986,Art Cobb,United States
1987,Bob Picken,Canada
1988,Kay Sugahara,United States
1989,Don McKay,United States
1990,Colin Campbell,Canada
1994,Keith Wendorf,Germany
1996,Elizabeth Paterson-Brown,Scotland
1997,Erwin Sautter,Switzerland
2000,Bob Hardy,United States
2000,Ernie Richardson,Canada
2001,Shirley Morash,Canada
2001,Raymond Somerville,United States
