Medal,Name,Sport,Event
Gold,Hannes Kolehmainen,Athletics,Men 's 10000m
Gold,Hannes Kolehmainen,Athletics,Men 's 5000m
Gold,Hannes Kolehmainen,Athletics,Men 's Individual Cross country
Gold,Armas Taipale,Athletics,Men 's Discus throw
Gold,Armas Taipale,Athletics,Men 's two handed discus throw
Gold,Julius Saaristo,Athletics,Men 's two handed javelin throw
Gold,Yrjö Saarela,Wrestling,Greco-Roman heavyweight
Gold,Kaarlo Koskelo,Wrestling,Greco-Roman featherweight
Gold,Emil Väre,Wrestling,Greco-Roman lightweight
Silver,Hannes Kolehmainen Jalmari Eskola Albin Stenroos,Athletics,Cross country
Silver,Elmer Niklander,Athletics,Men 's two handed discus throw
Silver,Julius Saaristo,Athletics,Men 's Javelin throw
Silver,Väinö Siikaniemi,Athletics,Men 's two handed javelin throw
Silver,Men 's Team,Gymnastics,free system
Silver,Men 's Team,Sailing,10m class
Silver,Johan Olin,Wrestling,Greco-Roman heavyweight
Silver,Ivar Böhling,Wrestling,Greco-Roman light heavyweight
Bronze,Albin Stenroos,Athletics,Men 's 10000m
Bronze,Urho Peltonen,Athletics,Men 's two handed javelin throw
Bronze,Elmer Niklander,Athletics,Men 's two handed shot put
