,Name on the Register,Date listed,Location,City or town
1,Big Piney Creek Bridge,"April 9 , 1990 ( # 90000506 )",Highway 123 over Big Piney Creek 35°40′37″N 93°14′10″W / 35.676944°N 93.236111°W / 35.676944 ; -93.236111 ( Big Piney Creek Bridge ),Hagarville
2,Bunch-Walton Post # 22 American Legion Hut,"January 24 , 2007 ( # 06001269 )",201 Legion St. 35°28′17″N 93°27′29″W / 35.471389°N 93.458056°W / 35.471389 ; -93.458056 ( Bunch-Walton Post # 22 American Legion Hut ),Clarksville
3,Clarksville Commercial Historic District,"March 30 , 2009 ( # 08000816 )","Roughly bounded by McConnell Street on the south , Cherry Street on the north , Johnson Street on the west , and Spadra Creek on the east 35°28′16″N 93°27′59″W / 35.4712°N 93.4663°W / 35.4712 ; -93.4663 ( Clarksville Commercial Historic District )",Clarksville
4,Clarksville Confederate Monument,"June 25 , 1999 ( # 99000709 )","Oakland Memorial Cemetery , west of Montgomery Ave. 35°28′04″N 93°28′39″W / 35.467778°N 93.4775°W / 35.467778 ; -93.4775 ( Clarksville Confederate Monument )",Clarksville
5,Clarksville High School Building No . 1,"September 10 , 1992 ( # 92001202 )",Main St. 35°28′17″N 93°28′20″W / 35.471389°N 93.472222°W / 35.471389 ; -93.472222 ( Clarksville High School Building No . 1 ),Clarksville
6,Clarksville National Guard Armory,"January 24 , 2007 ( # 06001270 )",309 College St. 35°28′27″N 93°28′00″W / 35.474273°N 93.466586°W / 35.474273 ; -93.466586 ( Clarksville National Guard Armory ),Clarksville
7,Davis House,"December 22 , 1982 ( # 82000854 )",212 Fulton St. 35°28′01″N 93°27′57″W / 35.466944°N 93.465833°W / 35.466944 ; -93.465833 ( Davis House ),Clarksville
8,N.E . Dickerson Store,"September 22 , 1995 ( # 95001124 )",East of Highway 215 35°41′21″N 93°34′23″W / 35.689167°N 93.573056°W / 35.689167 ; -93.573056 ( N.E . Dickerson Store ),Oark
9,Dover to Clarksville Road-Hickeytown Road Segment,"May 26 , 2005 ( # 05000464 )","Hickeytown Rd. , east of U.S. Route 64 35°26′06″N 93°22′53″W / 35.435°N 93.381389°W / 35.435 ; -93.381389 ( Dover to Clarksville Road-Hickeytown Road Segment )",Lamar
10,Dunlap House,"December 22 , 1982 ( # 82000855 )",101 Grandview 35°28′15″N 93°27′37″W / 35.470833°N 93.460278°W / 35.470833 ; -93.460278 ( Dunlap House ),Clarksville
11,First Presbyterian Church,"May 13 , 1991 ( # 91000588 )",212 College Ave. 35°28′21″N 93°27′57″W / 35.4725°N 93.465833°W / 35.4725 ; -93.465833 ( First Presbyterian Church ),Clarksville
12,Harmony Presbyterian Church,"December 1 , 1994 ( # 94001411 )","Northern side of Highway 103 , approximately 8 miles north of Clarksville 35°33′02″N 93°34′13″W / 35.550556°N 93.570278°W / 35.550556 ; -93.570278 ( Harmony Presbyterian Church )",Harmony
13,Taylor Hill Hotel,"October 21 , 2008 ( # 08001007 )",409 Alabama St. 35°26′11″N 93°40′15″W / 35.436261°N 93.670767°W / 35.436261 ; -93.670767 ( Taylor Hill Hotel ),Coal Hill
14,Johnson County Courthouse,"June 14 , 1991 ( # 91000680 )",Junction of Main and Fulton Sts . 35°28′15″N 93°27′53″W / 35.470833°N 93.464722°W / 35.470833 ; -93.464722 ( Johnson County Courthouse ),Clarksville
15,King 's Canyon Petroglyphs,"May 4 , 1982 ( # 82002119 )",Address Restricted,Clarksville
16,MacLean Hall,"June 5 , 2017 ( # 100001008 )",415 N. College Ave. 35°28′33″N 93°27′59″W / 35.475928°N 93.466306°W / 35.475928 ; -93.466306 ( MacLean Hall ),Clarksville
17,Edward Taylor McConnell House,"May 10 , 2001 ( # 01000485 )",302 S. Fulton St. 35°28′09″N 93°27′57″W / 35.469167°N 93.465833°W / 35.469167 ; -93.465833 ( Edward Taylor McConnell House ),Clarksville
18,McKennon House,"December 22 , 1982 ( # 82000856 )",115 Grandview 35°28′12″N 93°27′37″W / 35.47°N 93.460278°W / 35.47 ; -93.460278 ( McKennon House ),Clarksville
19,Capt . Archibald S. McKennon House,"January 2 , 1976 ( # 76000424 )",215 N. Central 35°28′22″N 93°27′55″W / 35.472778°N 93.465278°W / 35.472778 ; -93.465278 ( Capt . Archibald S. McKennon House ),Clarksville
20,Missouri-Pacific Depot-Clarksville,"June 11 , 1992 ( # 92000604 )",West of College St. between Cherry and Main Sts . 35°28′18″N 93°28′07″W / 35.471667°N 93.468611°W / 35.471667 ; -93.468611 ( Missouri-Pacific Depot-Clarksville ),Clarksville
