Finals,Gold,Silver,Bronze
2006 Mérida,Zhang Juanjuan ( CHN ),Qian Jialing ( CHN ),Elena Tonetta ( ITA )
2007 Dubai,Dola Banerjee ( IND ),Choi Eun-young ( KOR ),Natalya Erdyniyeva ( RUS )
2008 Lausanne,Justyna Mospinek ( POL ),Park Sung-hyun ( KOR ),Yun Ok-hee ( KOR )
2009 Copenhagen,Kwak Ye-ji ( KOR ),Zhao Ling ( CHN ),Yun Ok-hee ( KOR )
2010 Edinburgh,Yun Ok-hee ( KOR ),Victoriya Koval ( UKR ),Ki Bo-bae ( KOR )
2011 Istanbul,Cheng Ming ( CHN ),Deepika Kumari ( IND ),Bérengère Schuh ( FRA )
2012 Tokyo,Ki Bo-bae ( KOR ),Deepika Kumari ( IND ),Choi Hyeon-ju ( KOR )
2013 Paris,Yun Ok-hee ( KOR ),Deepika Kumari ( IND ),Cui Yuanyuan ( CHN )
2014 Lausanne,Aída Román ( MEX ),Cheng Ming ( CHN ),Xu Jing ( CHN )
2015 Mexico City,Choi Mi-sun ( KOR ),Deepika Kumari ( IND ),Le Chien-ying ( TPE )
2016 Odense,Ki Bo-bae ( KOR ),Choi Mi-sun ( KOR ),Tan Ya-ting ( TPE )
2017 Rome,Ki Bo-bae ( KOR ),Ksenia Perova ( RUS ),Chang Hye-jin ( KOR )
2018 Samsun,Lee Eun Gyeong ( KOR ),Yasemin Anagoz ( TUR ),Deepika Kumari ( IND )
