Final Ranking,December Ranking,September Ranking,Player,Position,College
1,2,2,Scott Mitchell,Offensive lineman,Rice
2,3,3,Anthony Parker,Wide receiver,Calgary
3,10,11,Henoc Muamba,Linebacker,St. Francis Xavier
4,1,1,Philip Blake,Offensive lineman,Baylor
5,5,9,Tyler Holmes,Offensive lineman,Tulsa
6,4,8,Vaughn Martin,Defensive lineman,Western Ontario
7,7,7,Nathan Coehoorn,Wide receiver,Calgary
8,11,10,Hugh O'Neill,Punter / Kicker,Alberta
9,-,-,Marco Iannuzzi,Wide receiver,Harvard
10,6,4,Moe Petrus,Offensive lineman,Connecticut
11,8,6,Matt O'Donnell,Offensive lineman,Queen 's
12,-,-,Junior Turner,Defensive lineman,Bishop 's
13,13,-,Anthony Barrette,Offensive lineman,Concordia
14,14,14,Matt Walter,Running back,Calgary
15,-,-,Paul Swiston,Offensive lineman,Calgary
-,9,5,Renaldo Sagesse,Defensive lineman,Michigan
-,12,15,Pascal Baillargeon,Offensive lineman,Laval
-,15,-,Jade Etienne,Wide receiver,Saskatchewan
-,-,12,Gregory Alexandre,Defensive lineman,Montréal
-,-,13,Michael Carter,Defensive back,Maryland
