Name,Municipality,Region,Length,Elevation
Addaura,Palermo ( PA ),Sicily,?,70 metres ( 230 ft )
Arene Candide,Finale Ligure ( SV ),Liguria,?,90 amsl
Antro del Corchia,Stazzema ( LU ),Tuscany,?,600 amsl
Grotto Calgeron,Grigno ( TN ),Trentino-Alto Adige/Südtirol,?,400 amsl
Blue Grotto,Anacapri ( NA ),Campania,?,0 amsl
Borgio Verezzi,Borgio Verezzi ( SV ),Liguria,?,200 amsl
Bue Marino,Dorgali ( NU ),Sardinia,?,0 amsl
Castelcivita,Castelcivita ( SA ),Campania,3 km,94 amsl
Castellana,Castellana Grotte ( BA ),Apulia,3 km,290 amsl
Cavallone,Lama dei Peligni ( CH ) Taranta Peligna ( CH ),Abruzzo,1 km,"1,300 amsl"
Ear of Dionysius,Syracuse ( SR ),Sicily,"0,06 km ( 65 m )",400 amsl
Frasassi,Genga ( AN ),Marche,5 km,300 amsl
Gelo,Randazzo ( CT ),Sicily,?,"2,043 amsl"
Giant,Sgonico ( TS ),Friuli-Venezia Giulia,"0,28 km ( 280 m )",265 amsl
Giusti,Monsummano Terme ( PT ),Tuscany,"0,20 km ( 200 m )",570 amsl
Ispinigoli,Dorgali ( NU ),Sardinia,?,"1,300 amsl"
Is Zuddas,Santadi ( CI ),Sardinia,?,0 amsl
Lauro,Alcara li Fusi ( ME ),Sicily,?,"1,068 amsl"
Maona,Montecatini Terme ( PT ),Tuscany,"0,20 km ( 200 m )",255 amsl
Neptune,Alghero ( SS ),Sardinia,?,5 amsl
