Club,Location,Stadium,Capacity,Manager
Flora,Tallinn,A . Le Coq Arena,"9,692",Martin Reim
Kalju,Tallinn,Hiiu Stadium,500,Igor Prins
Kuressaare,Kuressaare,Kuressaare linnastaadion,"2,000",Sergei Zamogilnõi
Levadia,Tallinn,Maarjamäe Stadium,500,Aleksandr Puštov
Lootus,Kohtla-Järve,Kohtla-Järve Sports Centre Stadium,500,Andrei Škaleta
Paide Linnameeskond,Paide,ÜG Stadium,500,Meelis Rooba
Sillamäe Kalev,Sillamäe,Sillamäe Kalev Stadium,"2,000",Vladimir Kazachyonok
Tammeka,Tartu,Tartu Tamme Stadium,"2,000",Marko Kristal
Narva Trans,Narva,Kreenholm Stadium,"3,000",Valeri Bondarenko
Tulevik,Viljandi,Viljandi linnastaadion,"2,500",Marko Lelov
