Site,Municipality,Type,Ref
* Iwasesenzuka Kofun Cluster 岩橋千塚古墳群 Iwasesenzuka kofun-gun,Wakayama,1,[ 1 ]
Isoma Rock Shelter Site 磯間岩陰遺跡 Isoma iwakage iseki,Tanabe,1,[ 2 ]
Shimosato Kofun 下里古墳 Shimosato kofun,Nachikatsuura,1,[ 3 ]
Kii Kokubun-ji Site 紀伊国分寺 跡 Kii Kokubunji ato,Kinokawa,3,[ 4 ]
Former Nate-juku Honjin 旧名手宿本陣 Kyū-Nate-juku honjin,Kinokawa,6,[ 5 ]
Kongōbu-ji Precinct 金剛峯寺境内 Kongōbuji keidai,Kōya,3,[ 6 ]
Hiromura Dike 広村堤防 Hiromura teibō,Hirogawa,6,[ 7 ]
Kōzanji Shell Mound 高山寺貝塚 Kōzanji kaizuka,Tanabe,1,[ 8 ]
Kōyasan Chōishi 高野山町石 Kōyasan chōishi,"Kōya , Katsuragi , Kudoyama","3 , 6",[ 9 ]
Negoro-ji Precinct 根来寺境内 Negoroji keidai,Iwade,3,[ 10 ]
Misu Haiji Pagoda Site 三栖廃寺塔跡 Misu Haiji tō ato,Tanabe,3,[ 11 ]
Shikagō Ichirizuka 四箇郷一里塚 Shikagō ichirizuka,Wakayama,6,[ 12 ]
Ueno Haiji Site 上野廃寺跡 Ueno Haiji ato,Wakayama,3,[ 13 ]
Shingū Castle Site and Mizuno Clan Graves 新宮城 跡附水野家墓所 Shingū-jō ato tsuketari Mizuno-ke bosho,Shingū,"2 , 7",[ 14 ]
Nishi Kokubun Pagoda Site 西国分塔跡 Nishi Kokubun tō ato,Iwade,3,[ 15 ]
Ōtani Kofun 大谷古墳 Ōtani kofun,Wakayama,1,[ 16 ]
Niutsuhime Jinja Precinct 丹生都比売神社境内 Nyūtsuhime Jinja keidai,Katsuragi,3,[ 17 ]
Dōjō-ji Precinct 道成寺境内 Dōjōji keidai,Hidakagawa,3,[ 18 ]
Hamaguchi Goryō Grave 浜口梧陵墓 Hamaguchi Goryō no haka,Hirogawa,7,[ 19 ]
Myōe Kishū Sites and Tōba 明恵紀州遺跡率都婆 Myōe Kishū iseki sotsu tōba,"Arida , Yuasa , Aridagawa","3 , 7",[ 20 ]
