Bridge,Location,Country,Completed,Span,Notes
Bizerta/Brest Transporter Bridge,Bizerta,Tunisia,1898,109 m,"Moved to Brest , France in 1909 , damaged 1944 , demolished 1947"
Bordeaux Transporter Bridge,Bordeaux,France,-,400 m ( total ),"Started 1910 , but never completed . Demolished , 1942"
Devil 's Dyke Transporter Bridge,Devil 's Dyke,United Kingdom,1894,198 m,"Demolished , 1909"
Kiel Transporter Bridge,Kiel,German Empire,1910,128 m,"Demolished , 1923"
Maarsserbrug,Maarssen,The Netherlands,1938,88 m,"Fixed bridge for regular traffic with transporter for agricultural usages , removed in 1959"
Marseille Transporter Bridge,Marseille,France,1905,165 m,"Destroyed , 1944"
Nantes Transporter Bridge,Nantes,France,1903,141 m,"Demolished , 1958"
Puente Transbordador Presidente Sáenz Peña,Buenos Aires,Argentina,1913,,"Demolished , 1965"
Puente Transbordador Presidente Urquiza,Buenos Aires,Argentina,1915,,"Demolished , 1968"
Ponte Alexandrino de Alencar,Rio de Janeiro,Brazil,1915,171 m,"Demolished , 1935"
Rouen Transporter Bridge,Rouen,France,1898,142 m,"Destroyed , 1940"
Sky Ride,"Chicago , Illinois",United States,1933,564 m,"Demolished , 1934"
Widnes-Runcorn Transporter Bridge,Widnes - Runcorn,United Kingdom,1905,304 m,"Demolished , 1961"
