Year,Time,Athlete,Date,Place
1980,2:30:27,Joyce Smith ( GBR ),1980-11-16,"Tokyo , Japan"
1981,2:26:47,Allison Roe ( NZL ),1981-04-20,"Boston , United States"
1982,2:26:12,Joan Benoit ( USA ),1982-09-12,"Eugene , United States"
1983,2:22:43,Joan Benoit ( USA ),1983-04-18,"Boston , United States"
1984,2:24:26,Ingrid Kristiansen ( NOR ),1984-05-13,"London , UK"
1985,2:21:06,Ingrid Kristiansen ( NOR ),1985-04-21,"London , UK"
1986,2:24:54,Grete Waitz ( NOR ),1987-04-20,"London , UK"
1987,2:22:48,Ingrid Kristiansen ( NOR ),1987-05-10,"London , UK"
1988,2:23:51,Lisa Martin ( AUS ),1988-01-31,"Osaka , Japan"
1989,2:24:33,Ingrid Kristiansen ( NOR ),1989-04-17,"Boston , United States"
1990,2:25:24,Rosa Mota ( POR ),1990-04-16,"Boston , United States"
1991,2:24:18,Wanda Panfil ( POL ),1991-04-15,"Boston , United States"
1992,2:23:43,Olga Markova ( RUS ),1992-04-20,"Boston , United States"
1993,2:24:07,Wang Junxia ( CHN ),1993-04-04,"Tianjin , PR China"
1994,2:21:45,Uta Pippig ( GER ),1994-04-18,"Boston , United States"
1995,2:25:11,Uta Pippig ( GER ),1995-04-17,"Boston , United States"
1996,2:26:04,Katrin Dörre ( GER ),1996-01-28,"Osaka , Japan"
1997,2:22:07,Tegla Loroupe ( KEN ),1997-04-20,"Rotterdam , Netherlands"
1998,2:20:47,Tegla Loroupe ( KEN ),1998-04-19,"Rotterdam , Netherlands"
1999,2:20:43,Tegla Loroupe ( KEN ),1999-09-26,"Berlin , Germany"
