Medal,Name,Sport,Event
Gold,Sonja Henie,Figure skating,Women 's singles
Gold,Oddbjørn Hagen,Nordic combined,Men 's individual
Gold,Birger Ruud,Ski jumping,Men 's normal hill
Gold,Ivar Ballangrud,Speed skating,Men 's 500m
Gold,Charles Mathiesen,Speed skating,Men 's 1500m
Gold,Ivar Ballangrud,Speed skating,Men 's 5000m
Gold,Ivar Ballangrud,Speed skating,"Men 's 10,000m"
Silver,Oddbjørn Hagen,Cross-country skiing,Men 's 18 km
Silver,Oddbjørn Hagen Olaf Hoffsbakken Sverre Brodahl Bjarne Iversen,Cross-country skiing,Men 's 4 x 10 km relay
Silver,Olaf Hoffsbakken,Nordic combined,Men 's individual
Silver,Georg Krog,Speed skating,Men 's 500m
Silver,Ivar Ballangrud,Speed skating,Men 's 1500m
Bronze,Laila Schou Nilsen,Alpine skiing,Women 's combined
Bronze,Sverre Brodahl,Nordic combined,Men 's individual
Bronze,Reidar Andersen,Ski jumping,Men 's normal hill
