Location served,Community,ICAO,RAKIB,Airport name
A Coruña,Galicia,LECO,LCG,A Coruña Airport ( Alvedro Airport ) [ 1 ]
Algeciras,Andalusia,LEAG,,Algeciras Heliport [ 2 ]
Albacete,Castile-La Mancha,LEAB,ABC,Albacete Airport ( Los Llanos Air Base ) [ 3 ]
Alicante,Valencia,LEAL,ALC,Alicante-Elche Airport ( formerly El Altet Airport ) [ 4 ]
Almería,Andalusia,LEAM,LEI,Almería Airport [ 5 ]
Asturias,Asturias,LEAS,OVD,Asturias Airport [ 6 ]
Badajoz,Extremadura,LEBZ,BJZ,Badajoz Airport ( Talavera la Real Badajoz Airport ) [ 7 ]
Barcelona ( El Prat ),Catalonia,LEBL,BCN,Barcelona-El Prat Airport [ 8 ]
"Bilbao , Biscay",Basque Country,LEBB,BIO,Bilbao Airport [ 9 ]
Burgos,Castile and León,LEBG,RGS,Burgos Airport [ 10 ]
Córdoba,Andalusia,LEBA,ODB,Córdoba Airport [ 11 ]
Castellón,Valencia,LECH,CDT,Castellon Airport [ 12 ]
Girona,Catalonia,LEGE,GRO,Girona-Costa Brava Airport [ 13 ]
Granada / Jaén,Andalusia,LEGR,GRX,Federico García Lorca Airport [ 14 ]
Huesca,Aragon,LEHC,HSK,Huesca-Pirineos Airport [ 15 ]
"Jerez de la Frontera , Cádiz",Andalusia,LEJR,XRY,Jerez Airport [ 16 ]
La Seu d'Urgell / Andorra,Catalonia,LESU,LEU,Andorra-La Seu d'Urgell Airport
León,Castile and León,LELN,LEN,León Airport [ 17 ]
Lleida,Catalonia,LEDA,ILD,Lleida-Alguaire Airport [ 18 ]
