Year,Height,Athlete,Venue
1971,2.29 m ( 7 ft 6 in ),Pat Matzdorf ( USA ),Berkeley
1972,2.25 m ( 7 ft 4 ⁄ 2 in ),Jüri Tarmak ( URS ),Moscow
1973,2.30 m ( 7 ft 6 ⁄ 2 in ),Dwight Stones ( USA ),Munich
1974,2.28 m ( 7 ft 5 ⁄ 4 in ),Dwight Stones ( USA ),Oslo
1975,2.28 m ( 7 ft 5 ⁄ 4 in ),Dwight Stones ( USA ),New York
1976,2.32 m ( 7 ft 7 ⁄ 4 in ),Dwight Stones ( USA ),Philadelphia
1977,2.33 m ( 7 ft 7 ⁄ 2 in ),Vladimir Yashchenko ( URS ),Richmond
1978,2.35 m ( 7 ft 8 ⁄ 2 in ) ( i ),Vladimir Yashchenko ( URS ),Milano
1979,2.32 m ( 7 ft 7 ⁄ 4 in ),Dietmar Mögenburg ( FRG ),Ottawa
1980,2.36 m ( 7 ft 8 ⁄ 4 in ),Gerd Wessig ( GDR ),Moscow
1981,2.33 m ( 7 ft 7 ⁄ 2 in ),Aleksey Demyanyuk ( URS ),Leningrad
1982,2.33 m ( 7 ft 7 ⁄ 2 in ),Zhu Jianhua ( CHN ),Delhi
1983,2.38 m ( 7 ft 9 ⁄ 2 in ),Zhu Jianhua ( CHN ),Shanghai
1984,2.39 m ( 7 ft 10 in ),Zhu Jianhua ( CHN ),Eberstadt
1985,2.41 m ( 7 ft 10 ⁄ 4 in ),Igor Paklin ( URS ),Kobe
1986,2.38 m ( 7 ft 9 ⁄ 2 in ),Igor Paklin ( URS ),Rieti
1987,2.42 m ( 7 ft 11 ⁄ 4 in ),Patrik Sjöberg ( SWE ),Stockholm
1988,2.43 m ( 7 ft 11 ⁄ 2 in ),Javier Sotomayor ( CUB ),Salamanca
1989,2.44 m ( 8 ft 0 in ),Javier Sotomayor ( CUB ),San Juan
