Name,Class year ( s ),Degree ( s ),Notability
Joseph A. Cannon,1974 1977,B.A . J.D . ( Clark ),"Former Chairman of Utah Republican Party , current managing editor of Deseret News"
Kathleen Clark,-,( never graduated ) ( Clark ),Director of the U.S. Bureau of Land Management
Kristen Cox,1995,B.S,Appointed by George W. Bush as Special Assistant to the Commissioner of Rehabilitation Services Administration in the U.S. Department of Education
Larry EchoHawk,1970,B.S,"Former Attorney General for Idaho , Assistant Secretary of Indian Affairs for Barack Obama administration"
Rex E. Lee,1960 1996,B.A . Hon . D.L,Former U.S . Solicitor General
Roger B. Porter,1970,B.A,Director of White House Office of Policy Development in the Reagan administration ; Executive Secretary of the President 's Economic Policy Board during the Ford administration ; Rhodes Scholar ; Harvard professor of business and government
Rory Reid,1985 1988,B.A . J.D . ( Clark ),"Former Chairman of the Clark County Commission , Nevada"
Bert Richardson,,Bachelor 's degree,Incoming judge of the Texas Court of Criminal Appeals ; San Antonio lawyer
Ronna Romney McDaniel,,B.A,Chairwoman of the Republican National Committee
Kyle Sampson,1993,B.A,Former Chief of Staff and counselor to U.S. Attorney General Alberto Gonzales ; key player in controversy surrounding dismissal of U.S. attorneys
Paull Shin,1962,B.A,Member ( D ) of the Washington State Senate
Scott Smith,1980,B.S,"Thirty-eighth mayor of Mesa , Arizona"
Nick Udall,1936,,"Former Mayor of Phoenix , Arizona"
Paul M. Warner,1973 1976 1984,B.A . J.D . ( Clark ) MPA ( Marriott ),Chairman of the Attorney General 's Advisory Committee of U.S . Attorneys
Lawrence Wasden,1982,B.A,"Attorney General for Idaho ; President , National Association of Attorneys General"
Noall Wootton,1961,B.A,"County attorney who prosecuted Gary Gilmore , the first person executed in the U.S. after the death penalty was reinstated in 1976 ; portrayed by Charles Cyphers in the film The Executioner 's Song"
