Rank,City,Population ( 2014 census ),Region
1,Casablanca,"3,359,818",Casablanca-Settat
2,Fez,"1,112,072",Fès-Meknès
3,Tangier,"947,952",Tanger-Tetouan-Al Hoceima
4,Marrakesh,"928,850",Marrakesh-Safi
5,Salé,"890,403",Rabat-Salé-Kénitra
6,Meknes,"632,079",Fès-Meknès
7,Rabat,"577,827",Rabat-Salé-Kénitra
8,Oujda,"494,252",Oriental
9,Kenitra,"431,282",Rabat-Salé-Kénitra
10,Agadir,"421,844",Souss-Massa
11,Tetouan,"380,787",Tanger-Tetouan-Al Hoceima
12,Temara,"313,510",Rabat-Salé-Kénitra
13,Safi,"308,508",Marrakesh-Safi
14,Mohammedia,"208,612",Casablanca-Settat
15,Khouribga,"196,196",Béni Mellal-Khénifra
16,El Jadida,"194,934",Casablanca-Settat
17,Beni Mellal,"192,676",Béni Mellal-Khénifra
18,Aït Melloul,"171,847",Souss-Massa
19,Nador,"161,726",Oriental
20,Dar Bouazza,"151,373",Casablanca-Settat
