Opponent,S,Occurrences,GP,Rec,%
New York Rangers,8,"1975 , 1979 , 1981 , 1982 , 1983 , 1984 , 1990 , 1994",39,5-3,.625
Washington Capitals,7,"1983 , 1984 , 1985 , 1986 , 1987 , 1993 , 2015",37,5-2,.714
Pittsburgh Penguins,5,"1975 , 1982 , 1993 , 2013 , 2019",29,4-1,.800
Buffalo Sabres,4,"1976 , 1977 , 1980 , 2007",21,3-1,.750
Montreal Canadiens,4,"1976 , 1977 , 1984 , 1993",22,1-3,.250
Philadelphia Flyers,4,"1975 , 1980 , 1985 , 1987",25,1-3,.250
Edmonton Oilers,3,"1981 , 1983 , 1984",15,2-1,.667
Toronto Maple Leafs,3,"1978 , 1981 , 2002",17,1-2,.333
Boston Bruins,2,"1980 , 1983",11,2-0,1.000
Chicago Blackhawks,2,"1977 , 1979",6,2-0,1.000
Vancouver Canucks,2,"1976 , 1982",6,2-0,1.000
Tampa Bay Lightning,2,"2004 , 2016",10,0-2,.000
Colorado Avalanche,1,1982,4,1-0,1.000
Dallas Stars,1,1981,5,1-0,1.000
Florida Panthers,1,2016,6,1-0,1.000
Los Angeles Kings,1,1980,4,1-0,1.000
Carolina Hurricanes,1,2019,4,0-1,.000
New Jersey Devils,1,1988,6,0-1,.000
Ottawa Senators,1,2003,5,0-1,.000
Totals,53,,272,32-21,.604
