Medal,Championship,Name,Event
Bronze,1925 Apeldoorn,Gerrit van den Berg,Men 's amateur road race
Bronze,1933 Montlhéry,Marinus Valentijn,Men 's road race
Gold,1934 Leipzig,Kees Pellenaars,Men 's amateur road race
Bronze,1936 Bern,Theo Middelkamp,Men 's road race
Bronze,1938 Valkenburg,Joop Demmenie,Men 's amateur road race
Gold,1947 Reims,Theo Middelkamp,Men 's road race
Bronze,1947 Reims,Sjef Janssen,Men 's road race
Bronze,1947 Reims,Gerard van Beek,Men 's amateur road race
Gold,1949 Copenhagen,Henk Faanhof,Men 's amateur road race
Bronze,1949 Copenhagen,Hub Vinken,Men 's amateur road race
Silver,1950 Moorslede,Theo Middelkamp,Men 's road race
Bronze,1951 Varese,Jan Plantaz,Men 's amateur road race
Bronze,1954 Sollingen,Martin van der Borgh,Men 's amateur road race
Gold,1956 Copenhagen,Frans Mahn,Men 's amateur road race
Bronze,1956 Copenhagen,Gerrit Schulte,Men 's road race
Bronze,1956 Copenhagen,Jan Buis,Men 's amateur road race
Bronze,1957 Waregem,Schalk Verhoef,Men 's amateur road race
Bronze,1959 Zandvoort,Bas Maliepaard,Men 's amateur road race
Bronze,1962 Salo,Arie den Hartog,Men 's amateur road race
Bronze,1963 Ronse,Jo de Haan,Men 's road race
