Season,Player,School,Position,Class
1986-87,Tommy Amaker,Duke,PG,Senior
1987-88,Billy King,Duke,F,Senior
1988-89,Stacey Augmon,UNLV,SF,Sophomore
1989-90,Stacey Augmon ( 2 ),UNLV,SF,Junior
1990-91,Stacey Augmon ( 3 ),UNLV,SF,Senior
1991-92,Alonzo Mourning,Georgetown,C,Senior
1992-93,Grant Hill,Duke,SF,Junior
1993-94,Jim McIlvaine,Marquette,C,Senior
1994-95,Tim Duncan,Wake Forest,C,Sophomore
1995-96,Tim Duncan ( 2 ),Wake Forest,C,Junior
1996-97,Tim Duncan * ( 3 ),Wake Forest,C,Senior
1997-98,Steve Wojciechowski,Duke,SG,Senior
1998-99,Shane Battier,Duke,SF,Sophomore
1999-00,Shane Battier ( 2 ),Duke,SF,Junior
1999-00,Kenyon Martin *,Cincinnati,C,Senior
2000-01,Shane Battier * ( 3 ),Duke,SF,Senior
2001-02,John Linehan,Providence,PG,Senior
2002-03,Emeka Okafor,Connecticut,C,Sophomore
2003-04,Emeka Okafor ( 2 ),Connecticut,C,Junior
2004-05,Shelden Williams,Duke,PF,Junior
