Year,Title,Role,Director,Network,Notes
1987,Santa Barbara,Ethan Dobson,,NBC,1 episode ( uncredited )
1988,The Night Train to Kathmandu,Andrew McLeod,Robert Wiemer,Disney Channel Premiere Films,Made for TV movie
1988,Family Ties,Young Alex P. Keaton,Sam Weisman,NBC,Heartstrings : Part 3
1989,Hard Time on Planet Earth,Jonathan Newcomb,Michael Lange,CBS,Losing Control
1989,Paradise,Jeff Brandt,Robert Scheerer,CBS,A Matter of Honor
1989,Shivers,Matthew,Peter Baldwin,CBS,CBS Summer Playhouse
1989,Married ... with Children,Franklin,Gerry Cohen,FOX,It 's a Bundyful Life Parts 1 & 2
1990,The Dreamer of Oz : The L. Frank Baum Story,Frank Joslyn Baum,Jack Bender,Bedrock Productions,Made for TV movie
1991,Dallas,Jock Krebbs,Leonard Katzman,CBS,Conundrum
1991-1992,Salute Your Shorts,Eugene Sponge Harris,various,Nickelodeon,"Series regular , 26 episodes"
1998,Babylon 5,Simon,Janet Greek,PTEN,No Compromises
2014,Bones,Wesley Foster,David Boreanaz,FOX,The Recluse in the Recliner
2016-2017,SpongeyLeaks,Himself,Trevor Eyster,via webisodes,Self-produced docudrama series
