Name,Location,Radio services
BBC Ayr,Ayr,Network Studio for BBC Radio Scotland and BBC Radio nan Gàidheal
BBC Broadcasting House ( Aberdeen ),Aberdeen,Network Studio for BBC Radio Scotland and BBC Radio nan Gàidheal
Liniclate Community School,Benbecula,
BBC Production Village,Dumbarton,
Elmbank,Dumfries,Network Studio for BBC Radio Scotland
BBC Dundee,Dundee,Network Studio for BBC Radio Scotland
The Tun,Edinburgh,Network Studio for BBC Radio Scotland
BBC Pacific Quay,Glasgow,BBC Radio Scotland and BBC Radio nan Gàidheal
Glasgow North Trading Estate,Glasgow,
BBC Broadcasting House ( Inverness ),Inverness,Network Studio for BBC Radio nan Gàidheal
Commercial Union House,Kirkwall,BBC Radio Orkney
BBC Shetland,Lerwick,BBC Radio Shetland and Network studio for BBC Radio Scotland
BBC Oban,Oban,
Clydesdale Bank Building,Portree,
BBC Selkirk,Selkirk,Network studio for BBC Radio Scotland
"Cottrell Building , University of Stirling",Stirling,
Rosebank,Stornoway,Network Studio for BBC Radio Scotland and BBC Radio nan Gàidheal
