Round,Pick,Player,Recruited from,League,Club
1,1,David Swallow,East Fremantle,WAFL,Gold Coast
1,2,Harley Bennell,Peel Thunder,WAFL,Gold Coast
1,3,Sam Day,Sturt,SANFL,Gold Coast
1,4,Andrew Gaff,Oakleigh Chargers,TAC Cup,West Coast
1,5,Jared Polec,Woodville-West Torrens,SANFL,Brisbane Lions
1,6,Reece Conca,Perth,WAFL,Richmond
1,7,Josh Caddy,Northern Knights,TAC Cup,Gold Coast
1,8,Dyson Heppell,Gippsland Power,TAC Cup,Essendon
1,9,Dion Prestia,Calder Cannons,TAC Cup,Gold Coast
1,10,Daniel Gorringe,Norwood,SANFL,Gold Coast
1,11,Thomas Lynch,Dandenong Stingrays,TAC Cup,Gold Coast
1,12,Lucas Cook,North Ballarat Rebels,TAC Cup,Melbourne
1,13,Seb Tape,Glenelg,SANFL,Gold Coast
1,14,Brodie Smith,Woodville-West Torrens,SANFL,Adelaide
1,15,Billie Smedts,Geelong Falcons,TAC Cup,Geelong
1,16,Ben Jacobs,Sandringham Dragons,TAC Cup,Port Adelaide
1,17,Shaun Atley,Murray Bushrangers,TAC Cup,North Melbourne
1,18,Matthew Watson,Calder Cannons,TAC Cup,Carlton
1,19,Isaac Smith,North Ballarat,VFL,Hawthorn
1,20,Jayden Pitt,Geelong Falcons,TAC Cup,Fremantle
