,Name,Location,County
21,Salmon Ruins,36°42′4″N 108°1′38″W / 36.70111°N 108.02722°W / 36.70111 ; -108.02722 ( Salmon Ruins ),San Juan
30,Trinity Site,33°40′38″N 106°28′31″W / 33.67722°N 106.47528°W / 33.67722 ; -106.47528 ( Trinity Site ),Socorro
32,Wagon Mound,36°0′26″N 104°42′26″W / 36.00722°N 104.70722°W / 36.00722 ; -104.70722 ( Wagon Mound ),Mora
33,Watrous/La Junta,35°48′3″N 105°0′5″W / 35.80083°N 105.00139°W / 35.80083 ; -105.00139 ( Watrous/La Junta ),Mora
35,Fort Cummings,32°27′56″N 107°38′45″W / 32.46556°N 107.64583°W / 32.46556 ; -107.64583 ( Fort Cummings ),Luna
36,Fort Fillmore,32°15′28″N 106°44′36″W / 32.25778°N 106.74333°W / 32.25778 ; -106.74333 ( Fort Fillmore ),Doña Ana
39,San Felipe de Neri Church,"Old Town Plaza , Albuquerque , New Mexico 35°5′48″N 106°40′11″W / 35.09667°N 106.66972°W / 35.09667 ; -106.66972 ( San Felipe de Neri Church )",Bernalillo
277,Occidental Life Building,,Bernalillo
363,High Road to Taos,Santa Fe to Taos 35°53′49″N 106°1′12″W / 35.89694°N 106.02000°W / 35.89694 ; -106.02000 ( High Road to Taos ),multiple
366,"Atchison , Topeka & Santa Fe Railway Locomotive 2926",,Bernalillo
383,First Methodist Episcopal Church,,Bernalillo
397,Southwestern Brewery and Ice Company,"601 Commercial St. NE , Albuquerque , New Mexico 35°5′20″N 106°38′44″W / 35.08889°N 106.64556°W / 35.08889 ; -106.64556 ( Southwestern Brewery and Ice Company )",Bernalillo
424,Ake Site,,Catron
453,KiMo Theater,,Bernalillo
508,Old Albuquerque High School,,Bernalillo
584,Deming Armory,301 South Silver Avenue 32°16′0.02″N 107°45′24.39″W / 32.2666722°N 107.7567750°W / 32.2666722 ; -107.7567750 ( Deming Armory ),Deming
588,Rosenwald Building,,Bernalillo
660,First National Bank Building,,Bernalillo
700,Federal Building and United States Courthouse,,Bernalillo
737,Harwood School,,Bernalillo
