Body,Radius ( km ),Mass ( 10 kg ),Type - notes,Refs r · M
Chicago 334,99.4 ± 2.8,5.1 ± 5.6,belt asteroid type C,·
Bienor 54598,99 +3 −3.5,,centaur,· M
Themis 24,98 ± 2,5.9 ± 1.9,belt asteroid type C ; Themis family,·
Larissa Neptune VII,97 ± 5,≈ 4.2,moon of Neptune,·
Ursula 375,96.8 ± 1.3,8.4 ± 5.3,belt asteroid type C,·
S/2002 ( 2001 QC 298 ) 1 2001 QC 298 I,96 +9 −10,,secondary of 2001 QC 298,· M
S/2018 ( 532037 ) 1 2013 FY 27 I,≈ 95,,moon of ( 532037 ) 2013 FY 27,· M
Amphitrite 29,94.8 ± 0.6,13 ± 2,belt asteroid type S,·
Daphne 41,94.5 ± 0.5,6.3 ± 0.1,belt asteroid type C ; binary,·
Aurora 94,93.8 ± 3.6,6.2 ± 3.6,belt asteroid type C,·
Hermione 121,94 ± 3,5.0 ± 0.3,outer belt asteroid type C ; binary,·
Bertha 154,93.4 ± 0.9,9.2 ± 5.2,belt asteroid type C,·
Hebe 6,92.6 ± 1.4,14 ± 1,belt asteroid type S,·
Metis 9,≈ 92,8.4 ± 1.7,belt asteroid type S,·
Elektra 130,90.3 ± 1.3,6.6 ± 0.4,belt asteroid type G ; trinary,·
Loreley 165,90 ± 1,≈ 19 ± 2,belt asteroid type C,·
Janus Saturn X,89.5 ± 1.4,1.898 ± 0.001,moon of Saturn,·
Teharonhiawako 88611,89 +16 −18,2.44 ± 0.03,cubewano ; binary,·
Nemesis 128,89 ± 1,6.0 ± 2.6,belt asteroid type C,·
Aegle 96,88.9 ± 0.8,6.4 ± 6.3,belt asteroid type T,·
