Name,Birthdate,Birthplace,1935-1936 team
John Garrison,"February 13 , 1909","West Newton , Massachusetts",Harvard University
"Fred Kammer , Jr","June 3 , 1912","Montclair , New Jersey",Princeton University
Philip LaBatte,"July 5 , 1911","Minneapolis , Minnesota",Baltimore Orioles ( EHL )
John Lax,"July 23 , 1911","Arlington , Massachusetts",Boston University
Tom Moon,"November 6 , 1908","Ottawa , Ontario , Canada",Boston Olympics ( EHL )
"Elbridge Ross , Jr","August 2 , 1909","Melrose , Massachusetts",Colgate University
Paul Rowe,"May 5 , 1914","Somerville , Massachusetts",Boston University
"Frank Shaughnessy , Jr","June 21 , 1911","Roanoke , Virginia",Montreal Victorias ( QAHA )
Gordon Smith,"February 14 , 1908","Winchester , Massachusetts",Boston Olympics ( EHL )
Frank Spain,"February 17 , 1909","Quitman , Georgia",Boston Olympics ( EHL )
"Frank Stubbs , Jr","July 12 , 1909","South Wellfleet , Massachusetts",New York Athletic Club ( EHL )
