Number,Name,Rank,Unit,Date of award,Notes
26,Josef Dietrich,SS- Obergruppenführer,SS-Panzergrenadier-Division Leibstandarte SS Adolf Hitler,14 March 1943,Awarded 16th Diamonds 6 August 1944
39,August Dieckmann,SS- Obersturmbannführer,SS-Panzergrenadier-Regiment 10,10 October 1943 *,Killed in action 10 October 1943
47,Herbert-Otto Gille,SS- Gruppenführer,SS-Panzergrenadier Division Wiking,20 February 1944,Awarded 12th Diamonds 19 April 1944
56,Hinrich Schuldt,SS- Oberführer,2. lett . SS-Freiwillige-Brigade,25 March 1944 *,Killed in action 15 March 1944
65,Hermann Priess,SS- Brigadeführer,3 . SS-Panzer Division,24 April 1944,
71,Michael Wittmann,SS- Hauptsturmführer,schwere SS-Panzer-Abteilung 101,22 June 1944,Killed in action 8 August 1944
77,Hans Dorr,SS- Sturmbannführer,SS-Panzergrenadier-Regiment 9,9 July 1944,Died of wounds 17 April 1945
83,Hermann Fegelein ?,SS- Gruppenführer,8 . SS-Freiwillige-Kavallerie-Division Florian Geyer,30 July 1944,Executed 29 April 1945
85,Fritz von Scholz Edler von Rarancze,SS- Gruppenführer,11 . SS-Freiwillige-Panzergrenadier Division,8 August 1944 *,Died of wounds 28 July 1944
86,Felix Steiner,SS- Obergruppenführer,III . ( germanisches ) SS-Panzerkorps,10 August 1944,
90,Paul Hausser,SS- Oberstgruppenführer,7 . Armee,28 August 1944,
91,Kurt Meyer,SS- Standartenführer,12 . SS-Panzer-Division,27 August 1944,
94,Theodor Wisch,SS- Brigadeführer,1 . SS-Panzer Division Leibstandarte SS Adolf Hitler,30 August 1944,
95,Otto Baum,SS- Standartenführer,2 . SS-Panzer Division,2 September 1944,
116,Heinz Harmel,SS- Brigadeführer,10 . SS-Panzer Division,15 December 1944,
119,Joachim Peiper,SS- Obersturmbannführer,SS-Panzer-Regiment 1,11 January 1945,
120,Walter Krüger,SS- Obergruppenführer,VI . Waffen-Armeekorps der SS,11 January 1945,Suicide 22 May 1945
129,Helmut Dörner,SS- Oberführer,4 . SS-Polizei Panzergrenadier Division,1 February 1945,Killed in action 11 February 1945
138,Otto Kumm,SS- Brigadeführer,7 . SS-Freiwillige-Gebirgs-Division,17 Mar 1945,
140,Georg Bochmann,SS- Standartenführer,18 . SS-Freiwillige-Panzergrenadier-Division Horst Wessel,26 March 1945,
