,Name on the Register,Date listed,Location,City or town
1,Armstrong House,"June 9 , 2000 ( # 00000638 )",18050 U.S. Route 301 North 29°24′44″N 82°06′38″W / 29.412222°N 82.110556°W / 29.412222 ; -82.110556 ( Armstrong House ),Citra
2,Alfred Ayer House,"July 13 , 1993 ( # 93000590 )",Alternate U.S . Routes 27 / 441 west of Oklawaha 29°02′21″N 81°57′00″W / 29.039167°N 81.95°W / 29.039167 ; -81.95 ( Alfred Ayer House ),Ocklawaha
3,Thomas R. Ayer House,"July 13 , 1993 ( # 93000588 )",11885 Southeast 128th Place 29°02′09″N 81°57′22″W / 29.035833°N 81.956111°W / 29.035833 ; -81.956111 ( Thomas R. Ayer House ),Ocklawaha
4,Belleview School,"March 25 , 1999 ( # 99000372 )",5343 Southeast Abshier Boulevard 29°03′37″N 82°03′35″W / 29.060278°N 82.059722°W / 29.060278 ; -82.059722 ( Belleview School ),Belleview
5,Gen. Robert Bullock House,"July 13 , 1993 ( # 93000589 )",Junction of Southeast 119th Court and Southeast 128 Place 29°02′06″N 81°57′15″W / 29.035°N 81.954167°W / 29.035 ; -81.954167 ( Gen. Robert Bullock House ),Ocklawaha
6,Carr Family Cabin,"February 28 , 2017 ( # 100000683 )","Nicotoon Lake , Ocala NF , FS Tract # C-2233 28°59′56″N 81°42′36″W / 28.998876°N 81.709923°W / 28.998876 ; -81.709923 ( Carr Family Cabin )",Umatilla vicinity
7,Citra Methodist Episcopal Church-South,"March 5 , 1998 ( # 98000177 )",2010 Northeast 180th Street 29°24′40″N 82°06′51″W / 29.411111°N 82.114167°W / 29.411111 ; -82.114167 ( Citra Methodist Episcopal Church-South ),Citra
8,Coca-Cola Bottling Plant,"May 4 , 1979 ( # 79000682 )",939 North Magnolia Avenue 29°11′47″N 82°08′11″W / 29.196389°N 82.136389°W / 29.196389 ; -82.136389 ( Coca-Cola Bottling Plant ),Ocala
9,Dunnellon Boomtown Historic District,"December 8 , 1988 ( # 88002807 )","Roughly bounded by McKinney Avenue , Illinois Street , Pennsylvania Avenue , and Cedar Street 29°03′05″N 82°27′48″W / 29.051389°N 82.463333°W / 29.051389 ; -82.463333 ( Dunnellon Boomtown Historic District )",Dunnellon
10,East Hall,"July 28 , 1995 ( # 95000924 )",307 Southeast 26th Terrace 29°11′03″N 82°06′02″W / 29.184167°N 82.100556°W / 29.184167 ; -82.100556 ( East Hall ),Ocala
11,Robert W. Ferguson House,"March 23 , 1995 ( # 95000288 )","Off County Road 326 , east of its junction with U.S. Route 27 29°17′00″N 82°17′13″W / 29.283333°N 82.286944°W / 29.283333 ; -82.286944 ( Robert W. Ferguson House )",Emathla
12,Fort King Site,"February 24 , 2004 ( # 04000320 )",Address Restricted 29°11′20″N 82°04′56″W / 29.1889°N 82.0822°W / 29.1889 ; -82.0822 ( Fort King Site ),Ocala
13,James Riley Josselyn House,"July 13 , 1993 ( # 93000591 )",13845 Alternate U.S. Route 27 29°01′20″N 81°54′30″W / 29.022222°N 81.908333°W / 29.022222 ; -81.908333 ( James Riley Josselyn House ),Eastlake Weir
14,Kerr City Historic District,"September 29 , 1995 ( # 95001150 )","South of County Road 316 , north of Lake Kerr 29°22′29″N 81°46′39″W / 29.374722°N 81.7775°W / 29.374722 ; -81.7775 ( Kerr City Historic District )",Fort McCoy
15,Lake Lillian Neighborhood Historic District,"August 20 , 1999 ( # 99001012 )","Roughly bounded by Lillian Circle , Southeast Stetson Road , Southeast Mimosa Road , Southeast Earp Road , and the CSX railroad tracks 29°03′44″N 82°03′10″W / 29.062222°N 82.052778°W / 29.062222 ; -82.052778 ( Lake Lillian Neighborhood Historic District )",Belleview
16,Lake Weir Yacht Club,"April 22 , 1993 ( # 93000319 )",New York Avenue 29°01′15″N 81°54′50″W / 29.020833°N 81.913889°W / 29.020833 ; -81.913889 ( Lake Weir Yacht Club ),Eastlake Weir
17,Marion Hotel,"October 16 , 1980 ( # 80000955 )",108 North Magnolia Avenue 29°11′16″N 82°08′14″W / 29.187778°N 82.137222°W / 29.187778 ; -82.137222 ( Marion Hotel ),Ocala
18,McIntosh Historic District,"November 18 , 1983 ( # 83003550 )","Roughly bounded by the railroad right-of-way , 10th Street , and Avenues C and H 29°26′57″N 82°13′11″W / 29.449167°N 82.219722°W / 29.449167 ; -82.219722 ( McIntosh Historic District )",McIntosh
19,Morgan-Townsend House,"September 26 , 2013 ( # 13000794 )",13535 N. FL 19 29°21′00″N 81°44′03″W / 29.349889°N 81.734054°W / 29.349889 ; -81.734054 ( Morgan-Townsend House ),Salt Springs
20,Mount Zion A.M.E. Church,"December 17 , 1979 ( # 79000683 )",623 South Magnolia Avenue 29°10′52″N 82°08′13″W / 29.181111°N 82.136944°W / 29.181111 ; -82.136944 ( Mount Zion A.M.E. Church ),Ocala
