Pos,Player,Fee/Notes,Date
MF,Matt Walker,Option declined,"Nov. 18 , 2014"
MF,Agustín Viana,Option declined,"Nov. 18 , 2014"
MF,Daniel Paladini,Option declined,"Nov. 18 , 2014"
MF,Fifi Baiden,Option declined,"Nov. 18 , 2014"
DF,Matt Wiet,Option declined,"Nov. 18 , 2014"
DF,Ross Friedman,Option declined,"Nov. 18 , 2014"
DF,Josh Williams,Crew SC acquires allocation money from NYCFC in exchange for the defender,"Dec. 8 , 2014"
MF,Bernardo Añor,Crew SC acquires allocation money from Sporting Kansas City in exchange for the midfielder,"Dec. 8 , 2014"
FW,Jairo Arrieta,"Option declined Nov 18 , 2014 . Selected by Orlando City SC in the 2014 MLS Expansion Draft","Dec 10 , 2014"
DF,Eric Gehrig,Selected by Orlando City SC in the 2014 MLS Expansion Draft,"Dec. 10 , 2014"
DF,Ben Sweat,Waived,"Feb. 9 , 2015"
FW,Sagi Lev-Ari,Waived,"Mar . 16 , 2015"
DF,Hernán Grana,Grana and Crew SC mutually agreed to part ways,"May 12 , 2015"
DF,Kalen Ryden,Waived,"Aug. 6 , 2015"
FW,Adam Bedell,Crew SC acquires a second-round selection in the 2016 MLS SuperDraft,"Aug. 6 , 2015"
