Actor,Character,Duration
Reiko Aylesworth,Rebecca Lewis,1993-95
Tom Berenger,Tim Siegel,1975-76
Yasmine Bleeth,LeeAnn Demerest,1991-93
Jonathan Brandis,Kevin Buchanan,1982
Bryan Cranston,Dean Stella,1985
Marcia Cross,Kate Sanders,1986-87
John Cullum,Artie Duncan,1969
Roma Downey,Johanna Leighton,1988
Nathan Fillion,Joey Buchanan,"1994-97 , 2007"
Laurence Fishburne,Josh Hall,1973-76
Faith Ford,Muffy Critchlow,1983
Al Freeman,Ed Hall,"1972-88 , 1988-2000"
Barbara Garrick,Allison Perkins,"1986-87 , 2001-03 , 2008 , 2010"
Richard Grieco,Rick Gradner,1986-87
Danielle Harris,Sammi Garretson,1985-87
Tommy Lee Jones,Dr. Mark Toland,1971-75
Joe Lando,Jake Harrison,1990-92
Judith Light,Karen Wolek,1977-83
Colm Meaney,Alf,1987-88
Kelley Missal,Danielle Manning,2009-13
