Call letters,Channel,Network ( s ),City and state,Meaning or notes
KUAC-TV,9 PSIP 9,PBS,"Fairbanks , Alaska",
KUAM-TV,8 PSIP 8,Fox,"Hagåtña , Guam",
KUAS-TV,28 PSIP 27,PBS,"Tucson , Arizona",Satellite of KUAT
KUAT-TV,30 PSIP 6,PBS,"Tucson , Arizona",U niversity of A rizona T elevision
KUBD,13 PSIP 4,CBS,"Ketchikan , Alaska","Satellite of KTNL Sitka , Alaska"
KUBE-TV,31 PSIP 57,57.1 Independent 41.4 MeTV,"Baytown , Texas",
KUCW,35 PSIP 30,The CW,"Ogden , Utah",U tah 's CW
KUED,27 PSIP/cable 7,PBS,"Salt Lake City , Utah",U tah Ed ucation
KUEN,36 PSIP 9,UEN,"Salt Lake City , Utah",U tah E ducation N etwork
KUES,19 PSIP 19,PBS,"Richfield , Utah",A full power relay station of KUED
KUEW,18 PSIP 18,PBS,"St. George , Utah",Rebroadcasts KUED
KUFM-TV,11 PSIP 11,PBS,"Missoula , Montana",K U niversity o f M ontana
KUGF-TV,21 PSIP 21,21.1 PBS 21.2 PBS Kids 21.3 Create 21.4 World 21.5 TVMT,"Great Falls , Montana",
KUHM-TV,29 PSIP/cable 10,The CW,"Helena , Montana",
KUHT,8 PSIP 8,PBS,"Houston , Texas",U niversity of H ouston T elevision
KUID-TV,12 PSIP 12,PBS,"Moscow , Idaho",K U niversity of Id aho
KUKL-TV,15 PSIP 46,46.1 PBS 46.2 PBS Kids 46.3 Create 46.4 World 46.5 TVMT,"Kalispell , Montana",
KULR-TV,11 PSIP/cable 8,NBC,"Billings , Montana",
KUMV-TV,8 PSIP 8,NBC,"Williston , North Dakota","U pper M issouri V alley ; semi-satellite of KFYR Bismarck , North Dakota"
KUNP,16 PSIP 16,Univision,"La Grande , Oregon","Branded by its Portland translator 's channel number , 47 , and its cable channel number of 31"
