Country,Province / State,City,Airport
Bahamas,,Freeport,Grand Bahama International Airport
Canada,Manitoba,Thompson,Thompson Airport
Canada,New Brunswick,Saint John,Saint John Airport
Canada,Ontario,Sault Ste . Marie,Sault Ste . Marie Airport
Canada,Ontario,Sudbury,Sudbury Airport
Dominican Republic,La Romana,La Romana,La Romana International Airport
Mexico,Mexico City,Mexico City,Mexico City International Airport
United States,Florida,Sarasota,Sarasota-Bradenton International Airport
United States,Florida,West Palm Beach,Palm Beach International Airport
United States,Illinois,Chicago,O'Hare International Airport
United States,Louisiana,New Orleans,Louis Armstrong New Orleans International Airport
United States,New Jersey,Atlantic City,Atlantic City International Airport
United States,New Jersey,Newark,Newark Liberty International Airport
United States,Texas,Dallas,Dallas/Fort Worth International Airport
