Racecourse,Location,Country,Code,Opened,Surface,Owner
Aintree Racecourse,Merseyside,England,National Hunt,1829,Turf,Jockey Club
Ascot Racecourse,Berkshire,England,Mixed,1711,Turf,Independent
Ayr Racecourse,Ayrshire,Scotland,Mixed,1907,Turf,Independent
Bangor on Dee Racecourse,Wrexham,Wales,National Hunt,1859,Turf,Chester Race Company
Bath Racecourse,Somerset,England,Flat,by 1728,Turf,Arena Racing Company
Beverley Racecourse,East Riding of Yorkshire,England,Flat,by 1767,Turf,Independent
Brighton Racecourse,East Sussex,England,Flat,1783,Turf,Arena Racing Company
Carlisle Racecourse,Cumbria,England,Mixed,1904,Turf,Jockey Club
Cartmel Racecourse,Cumbria,England,National Hunt,by 1856,Turf,Independent
Catterick Racecourse,North Yorkshire,England,Mixed,1783,Turf,Independent
Chelmsford City Racecourse,Essex,England,Flat,2008,Polytrack,Independent
Cheltenham Racecourse,Gloucestershire,England,National Hunt,1831,Turf,Jockey Club
Chepstow Racecourse,Monmouthshire,Wales,Mixed,1926,Turf,Arena Racing Company
Chester Racecourse,Cheshire,England,Flat,1539,Turf,Chester Race Company
Doncaster Racecourse,South Yorkshire,England,Mixed,by 1595,Turf,Arena Racing Company
Epsom Downs Racecourse,Surrey,England,Flat,by 1661,Turf,Jockey Club
Exeter Racecourse,Devon,England,National Hunt,by 1804,Turf,Jockey Club
Fakenham Racecourse,Norfolk,England,National Hunt,1905,Turf,Independent
Ffos Las Racecourse,Carmarthenshire,Wales,Mixed,2009,Turf,Arena Racing Company
Fontwell Park Racecourse,West Sussex,England,National Hunt,1924,Turf,Arena Racing Company
