P,Name,Age,Moving from,Type,Source
MF,Elano,29,Galatasaray,Signed,Estadão
MF,Charles,26,Lokomotiv Moscow,Loaned,Placar
GK,Aranha,30,Atlético Mineiro,Signed,Globo Esporte
DF,Jonathan,25,Cruzeiro,Signed,Globo Esporte
MF,Robson,23,Avaí,Loan Return,
FW,Maikon Leite,22,Atlético-PR,Loan Return,Lancenet
FW,Diogo,23,Olympiakos,Loaned,SantosFC.com.br
FW,Rychely,23,Santo André,Loaned,Globo Esporte
DF,Rafael Caldeira,20,Oeste,Loan return,
MF,Roger,25,Oeste,Loaned,Lancenet
FW,Borges,30,Grêmio,Signed,UOL
FW,Alan Kardec,22,Benfica,Loaned,Globo Esporte
DF,Leandro Silva,23,Atlético Sorocaba,Loaned,IG
MF,Henrique,26,Cruzeiro,Signed,Globo Esporte
MF,Ibson,27,Spartak Moscow,Signed,Globo Esporte
MF,Breitner,21,Figueirense,Loan Return,ESPBR
DF,Éder Lima,25,Oeste,Signed,Globo Esporte
FW,Rentería,25,Caxias,Loaned,Globo Esporte
MF,Breitner,21,Criciúma,Loan Return,Futebol Futebol
