Retail chain,Type,Number of stores,Headquarters
Biedronka,Supermarket,3000,Poland
Żabka,Convenience store,6000,Poland
Lewiatan,Convenience store,3200,Poland
Społem,Convenience store,69,Poland
Groszek,Convenience store,1700,Poland
Rabat Detal,Convenience store,1700,Poland
Lidl,Supermarket,700,Germany
Top Market,Convenience store,2600,Poland
Stokrotka,Supermarket,577,Poland
Netto,Supermarket,368,Denmark
Polomarket,Supermarket,280,Poland
Piotr i Paweł,Supermarket,70,Poland
Aldi,Supermarket,132,Germany
SPAR,Convenience store,250,Netherlands
ABC,Convenience store,8500,Poland
Rosa,Convenience store,54,Poland
Dino,Supermarket,1218,Poland
Livio,Convenience store,2300,Poland
Mila,Supermarket,187,Poland
Odido,Convenience store,2200,Poland
